ad_group_id,campaign_id,ad_group_name,targeting_type,optimization_goal,bid_strategy,bid_amount_usd,audience_size,start_date,end_date
ADG_019,CMP_007,Broad Ad Group 19,Broad,Reach,Cost Cap,0.0593,395826,2026-03-29,2026-05-31
ADG_020,CMP_007,Interest Ad Group 20,Interest,Video Complete,Lowest Cost,0.0406,3432247,2026-03-29,2026-05-31
ADG_021,CMP_007,Broad Ad Group 21,Broad,Video Complete,Cost Cap,0.0658,5534628,2026-03-29,2026-05-31
ADG_022,CMP_008,Broad Ad Group 22,Broad,Video Complete,Cost Cap,0.0339,1079574,2025-12-27,2026-04-12
ADG_023,CMP_008,Interest Ad Group 23,Interest,Video Complete,Lowest Cost,0.0588,252312,2025-12-27,2026-04-12
ADG_024,CMP_009,Broad Ad Group 24,Broad,Reach,Lowest Cost,0.0343,530560,2026-02-10,2026-04-22
ADG_025,CMP_009,Broad Ad Group 25,Broad,Video Complete,Lowest Cost,0.0583,423321,2026-02-10,2026-04-22
ADG_026,CMP_009,Retargeting Ad Group 26,Retargeting,Video Complete,Lowest Cost,0.0364,6282883,2026-02-10,2026-04-22
ADG_027,CMP_010,Interest Ad Group 27,Interest,Click,Lowest Cost,3.7569,789593,2026-01-13,2026-03-22
ADG_028,CMP_010,Interest Ad Group 28,Interest,Reach,Lowest Cost,1.6078,1204462,2026-01-13,2026-03-22
ADG_029,CMP_011,Broad Ad Group 29,Broad,Click,Lowest Cost,2.0709,1260120,2026-01-21,2026-05-07
ADG_030,CMP_011,Broad Ad Group 30,Broad,Reach,Lowest Cost,1.848,1058956,2026-01-21,2026-05-07
ADG_031,CMP_011,Retargeting Ad Group 31,Retargeting,Reach,Lowest Cost,2.5187,937198,2026-01-21,2026-05-07
ADG_032,CMP_011,Interest Ad Group 32,Interest,Reach,Lowest Cost,3.6789,1312826,2026-01-21,2026-05-07
ADG_033,CMP_012,Interest Ad Group 33,Interest,Video Complete,Lowest Cost,0.0207,152303,2025-12-02,2026-01-18
ADG_034,CMP_012,Broad Ad Group 34,Broad,Video Complete,Bid Cap,0.0156,311966,2025-12-02,2026-01-18
ADG_035,CMP_012,Interest Ad Group 35,Interest,Reach,Bid Cap,0.0672,4396818,2025-12-02,2026-01-18
ADG_036,CMP_013,Interest Ad Group 36,Interest,Reach,Lowest Cost,3.2624,7571413,2026-03-23,2026-05-08
ADG_037,CMP_013,Broad Ad Group 37,Broad,Reach,Lowest Cost,3.0631,321983,2026-03-23,2026-05-08
ADG_038,CMP_013,Interest Ad Group 38,Interest,Reach,Lowest Cost,1.8771,803081,2026-03-23,2026-05-08
ADG_039,CMP_014,Broad Ad Group 39,Broad,Reach,Lowest Cost,1.1734,1022117,2025-12-01,2026-02-02
ADG_040,CMP_014,Lookalike Ad Group 40,Lookalike,Click,Bid Cap,1.1978,219639,2025-12-01,2026-02-02
ADG_041,CMP_014,Interest Ad Group 41,Interest,Click,Cost Cap,0.9539,2983624,2025-12-01,2026-02-02
ADG_042,CMP_015,Retargeting Ad Group 42,Retargeting,Click,Lowest Cost,0.3035,1462636,2026-02-08,2026-04-25
ADG_043,CMP_015,Retargeting Ad Group 43,Retargeting,Click,Lowest Cost,0.2351,1089376,2026-02-08,2026-04-25
ADG_044,CMP_015,Interest Ad Group 44,Interest,Reach,Cost Cap,0.0968,745266,2026-02-08,2026-04-25
ADG_045,CMP_016,Lookalike Ad Group 45,Lookalike,Reach,Cost Cap,2.6341,3399492,2025-12-17,2026-03-09
ADG_046,CMP_016,Broad Ad Group 46,Broad,Reach,Cost Cap,2.3807,602967,2025-12-17,2026-03-09
ADG_047,CMP_016,Retargeting Ad Group 47,Retargeting,Reach,Lowest Cost,3.1112,547550,2025-12-17,2026-03-09
ADG_048,CMP_016,Interest Ad Group 48,Interest,Reach,Lowest Cost,1.3811,94153,2025-12-17,2026-03-09
ADG_049,CMP_017,Interest Ad Group 49,Interest,Click,Lowest Cost,2.6759,1296209,2026-03-22,2026-05-21
ADG_050,CMP_017,Retargeting Ad Group 50,Retargeting,Conversion,Lowest Cost,3.74,984567,2026-03-22,2026-05-21
ADG_051,CMP_017,Retargeting Ad Group 51,Retargeting,Conversion,Lowest Cost,1.0474,862120,2026-03-22,2026-05-21
ADG_052,CMP_017,Broad Ad Group 52,Broad,Click,Cost Cap,1.1989,894592,2026-03-22,2026-05-21
ADG_053,CMP_018,Interest Ad Group 53,Interest,Click,Lowest Cost,0.1841,1420020,2026-03-03,2026-04-19
ADG_054,CMP_018,Interest Ad Group 54,Interest,Click,Bid Cap,0.1885,1244193,2026-03-03,2026-04-19
ADG_055,CMP_018,Broad Ad Group 55,Broad,Click,Lowest Cost,0.1206,783152,2026-03-03,2026-04-19
ADG_056,CMP_018,Interest Ad Group 56,Interest,Click,Cost Cap,0.1212,419816,2026-03-03,2026-04-19
ADG_057,CMP_019,Broad Ad Group 57,Broad,Click,Lowest Cost,2.7052,5456602,2026-02-05,2026-04-09
ADG_058,CMP_019,Broad Ad Group 58,Broad,Conversion,Cost Cap,2.0087,620178,2026-02-05,2026-04-09
ADG_059,CMP_019,Retargeting Ad Group 59,Retargeting,Conversion,Lowest Cost,2.3395,353629,2026-02-05,2026-04-09
ADG_060,CMP_020,Broad Ad Group 60,Broad,Reach,Lowest Cost,3.6718,1052465,2026-01-08,2026-05-14
ADG_061,CMP_020,Interest Ad Group 61,Interest,Reach,Lowest Cost,2.4176,242552,2026-01-08,2026-05-14
ADG_062,CMP_021,Interest Ad Group 62,Interest,Click,Cost Cap,0.4455,2399885,2026-01-19,2026-03-27
ADG_063,CMP_021,Interest Ad Group 63,Interest,Conversion,Lowest Cost,0.1673,5172214,2026-01-19,2026-03-27
ADG_064,CMP_022,Lookalike Ad Group 64,Lookalike,Conversion,Cost Cap,3.714,487955,2025-12-16,2026-04-29
ADG_065,CMP_022,Interest Ad Group 65,Interest,Conversion,Cost Cap,2.1101,274269,2025-12-16,2026-04-29
ADG_066,CMP_023,Retargeting Ad Group 66,Retargeting,Click,Bid Cap,0.245,617215,2025-12-01,2026-03-03
ADG_067,CMP_023,Broad Ad Group 67,Broad,Click,Lowest Cost,0.3034,3745909,2025-12-01,2026-03-03
ADG_068,CMP_023,Lookalike Ad Group 68,Lookalike,Click,Lowest Cost,0.1589,398277,2025-12-01,2026-03-03
ADG_069,CMP_024,Broad Ad Group 69,Broad,Video Complete,Cost Cap,0.0681,81622,2025-12-09,2026-05-07
ADG_070,CMP_024,Broad Ad Group 70,Broad,Video Complete,Cost Cap,0.0276,5918441,2025-12-09,2026-05-07
ADG_071,CMP_025,Interest Ad Group 71,Interest,Click,Lowest Cost,0.1915,118709,2025-12-24,2026-04-01
ADG_072,CMP_025,Interest Ad Group 72,Interest,Conversion,Lowest Cost,0.1655,1459622,2025-12-24,2026-04-01
ADG_073,CMP_025,Interest Ad Group 73,Interest,Conversion,Bid Cap,0.343,7203394,2025-12-24,2026-04-01
ADG_074,CMP_026,Interest Ad Group 74,Interest,Video Complete,Lowest Cost,3.2669,1024712,2026-03-14,2026-05-31
ADG_075,CMP_026,Interest Ad Group 75,Interest,Reach,Cost Cap,2.271,104354,2026-03-14,2026-05-31
ADG_076,CMP_027,Broad Ad Group 76,Broad,Click,Lowest Cost,1.0931,5584752,2025-12-25,2026-05-11
ADG_077,CMP_027,Interest Ad Group 77,Interest,Click,Lowest Cost,3.5934,3992118,2025-12-25,2026-05-11
ADG_078,CMP_027,Interest Ad Group 78,Interest,Reach,Bid Cap,2.8693,337594,2025-12-25,2026-05-11
ADG_079,CMP_027,Interest Ad Group 79,Interest,Reach,Cost Cap,2.3143,1064180,2025-12-25,2026-05-11
ADG_080,CMP_028,Interest Ad Group 80,Interest,Reach,Cost Cap,0.072,5581082,2026-01-04,2026-05-08
ADG_081,CMP_028,Broad Ad Group 81,Broad,Click,Lowest Cost,0.0982,1399554,2026-01-04,2026-05-08
ADG_082,CMP_028,Interest Ad Group 82,Interest,Click,Cost Cap,0.3716,1241052,2026-01-04,2026-05-08
ADG_083,CMP_029,Interest Ad Group 83,Interest,Reach,Bid Cap,2.136,2520154,2025-12-14,2026-02-17
ADG_084,CMP_029,Interest Ad Group 84,Interest,Click,Cost Cap,3.9934,822845,2025-12-14,2026-02-17
ADG_085,CMP_029,Interest Ad Group 85,Interest,Reach,Bid Cap,3.9491,6886628,2025-12-14,2026-02-17
ADG_086,CMP_030,Broad Ad Group 86,Broad,Conversion,Lowest Cost,1.7482,268847,2026-01-17,2026-05-17
ADG_087,CMP_030,Broad Ad Group 87,Broad,Conversion,Lowest Cost,3.8605,147364,2026-01-17,2026-05-17
ADG_088,CMP_031,Lookalike Ad Group 88,Lookalike,Click,Cost Cap,3.6919,6504998,2025-12-30,2026-03-22
ADG_089,CMP_031,Broad Ad Group 89,Broad,Click,Cost Cap,2.7448,5328464,2025-12-30,2026-03-22
ADG_090,CMP_031,Retargeting Ad Group 90,Retargeting,Click,Cost Cap,1.4922,476898,2025-12-30,2026-03-22
ADG_091,CMP_032,Interest Ad Group 91,Interest,Reach,Cost Cap,1.2925,6488023,2025-12-27,2026-05-18
ADG_092,CMP_032,Broad Ad Group 92,Broad,Reach,Bid Cap,2.2638,443642,2025-12-27,2026-05-18
ADG_093,CMP_032,Broad Ad Group 93,Broad,Reach,Lowest Cost,1.853,384664,2025-12-27,2026-05-18
ADG_094,CMP_032,Interest Ad Group 94,Interest,Click,Lowest Cost,3.1149,192217,2025-12-27,2026-05-18
ADG_095,CMP_033,Lookalike Ad Group 95,Lookalike,Conversion,Bid Cap,0.2564,528322,2026-03-07,2026-05-31
ADG_096,CMP_033,Interest Ad Group 96,Interest,Click,Cost Cap,0.2585,99623,2026-03-07,2026-05-31
ADG_097,CMP_034,Broad Ad Group 97,Broad,Conversion,Bid Cap,0.0923,3122572,2025-12-17,2026-03-15
ADG_098,CMP_034,Broad Ad Group 98,Broad,Click,Lowest Cost,0.184,6310833,2025-12-17,2026-03-15
ADG_099,CMP_035,Retargeting Ad Group 99,Retargeting,Video Complete,Lowest Cost,1.0691,1384176,2026-03-09,2026-05-31
ADG_100,CMP_035,Broad Ad Group 100,Broad,Video Complete,Lowest Cost,3.2955,282053,2026-03-09,2026-05-31
ADG_101,CMP_035,Interest Ad Group 101,Interest,Reach,Lowest Cost,1.3744,3156671,2026-03-09,2026-05-31
ADG_102,CMP_036,Broad Ad Group 102,Broad,Reach,Cost Cap,0.2394,4273707,2026-03-05,2026-05-31
ADG_103,CMP_036,Broad Ad Group 103,Broad,Reach,Lowest Cost,0.0588,3054510,2026-03-05,2026-05-31
ADG_104,CMP_036,Broad Ad Group 104,Broad,Click,Lowest Cost,0.2374,2424044,2026-03-05,2026-05-31
ADG_105,CMP_036,Interest Ad Group 105,Interest,Reach,Lowest Cost,0.386,1320597,2026-03-05,2026-05-31
ADG_106,CMP_037,Lookalike Ad Group 106,Lookalike,Reach,Cost Cap,3.7105,6267493,2026-01-01,2026-05-12
ADG_107,CMP_037,Interest Ad Group 107,Interest,Reach,Lowest Cost,3.1182,744855,2026-01-01,2026-05-12
ADG_108,CMP_038,Lookalike Ad Group 108,Lookalike,Reach,Bid Cap,3.2851,745114,2026-03-05,2026-05-31
ADG_109,CMP_038,Broad Ad Group 109,Broad,Reach,Lowest Cost,3.7179,1046701,2026-03-05,2026-05-31
ADG_110,CMP_038,Broad Ad Group 110,Broad,Reach,Cost Cap,2.177,1177147,2026-03-05,2026-05-31
ADG_111,CMP_038,Broad Ad Group 111,Broad,Reach,Lowest Cost,2.2567,1444244,2026-03-05,2026-05-31
ADG_112,CMP_039,Interest Ad Group 112,Interest,Conversion,Lowest Cost,3.0239,3879877,2026-01-01,2026-04-02
ADG_113,CMP_039,Retargeting Ad Group 113,Retargeting,Click,Lowest Cost,1.1289,249631,2026-01-01,2026-04-02
ADG_114,CMP_039,Broad Ad Group 114,Broad,Conversion,Lowest Cost,1.922,1078758,2026-01-01,2026-04-02
ADG_115,CMP_040,Broad Ad Group 115,Broad,Reach,Lowest Cost,2.8366,1367290,2025-12-02,2026-04-15
ADG_116,CMP_040,Interest Ad Group 116,Interest,Reach,Lowest Cost,3.7926,5493710,2025-12-02,2026-04-15
ADG_117,CMP_040,Broad Ad Group 117,Broad,Click,Lowest Cost,3.4154,285209,2025-12-02,2026-04-15
ADG_118,CMP_040,Interest Ad Group 118,Interest,Reach,Cost Cap,2.8809,212632,2025-12-02,2026-04-15
ADG_119,CMP_041,Interest Ad Group 119,Interest,Click,Bid Cap,0.2235,194994,2026-01-17,2026-04-10
ADG_120,CMP_041,Retargeting Ad Group 120,Retargeting,Conversion,Lowest Cost,0.2473,351090,2026-01-17,2026-04-10
ADG_121,CMP_041,Broad Ad Group 121,Broad,Conversion,Bid Cap,0.3409,2495843,2026-01-17,2026-04-10
ADG_122,CMP_041,Retargeting Ad Group 122,Retargeting,Conversion,Lowest Cost,0.2556,1919065,2026-01-17,2026-04-10
ADG_123,CMP_042,Interest Ad Group 123,Interest,Reach,Cost Cap,0.4469,1490805,2025-12-24,2026-02-19
ADG_124,CMP_042,Interest Ad Group 124,Interest,Click,Lowest Cost,0.3363,1329065,2025-12-24,2026-02-19
ADG_125,CMP_042,Interest Ad Group 125,Interest,Click,Lowest Cost,0.2249,1412092,2025-12-24,2026-02-19
ADG_126,CMP_043,Retargeting Ad Group 126,Retargeting,Reach,Cost Cap,1.7989,224832,2025-12-20,2026-04-08
ADG_127,CMP_043,Lookalike Ad Group 127,Lookalike,Reach,Lowest Cost,1.0352,7605931,2025-12-20,2026-04-08
ADG_128,CMP_044,Interest Ad Group 128,Interest,Click,Bid Cap,0.151,1798090,2026-03-25,2026-05-31
ADG_129,CMP_044,Retargeting Ad Group 129,Retargeting,Click,Cost Cap,0.3723,196891,2026-03-25,2026-05-31
ADG_130,CMP_045,Broad Ad Group 130,Broad,Click,Lowest Cost,1.5396,570102,2026-02-01,2026-05-31
ADG_131,CMP_045,Lookalike Ad Group 131,Lookalike,Conversion,Lowest Cost,0.933,645546,2026-02-01,2026-05-31
ADG_132,CMP_046,Lookalike Ad Group 132,Lookalike,Click,Lowest Cost,0.2455,159141,2026-01-27,2026-05-09
ADG_133,CMP_046,Broad Ad Group 133,Broad,Click,Lowest Cost,0.3194,1047296,2026-01-27,2026-05-09
ADG_134,CMP_047,Lookalike Ad Group 134,Lookalike,Reach,Cost Cap,0.0687,226649,2026-01-23,2026-05-07
ADG_135,CMP_047,Retargeting Ad Group 135,Retargeting,Click,Cost Cap,0.0179,1348163,2026-01-23,2026-05-07
ADG_136,CMP_047,Lookalike Ad Group 136,Lookalike,Click,Cost Cap,0.0504,6157089,2026-01-23,2026-05-07
ADG_137,CMP_048,Broad Ad Group 137,Broad,Reach,Bid Cap,0.0627,198516,2026-03-18,2026-05-06
ADG_138,CMP_048,Retargeting Ad Group 138,Retargeting,Reach,Bid Cap,0.0407,5528812,2026-03-18,2026-05-06
ADG_139,CMP_048,Interest Ad Group 139,Interest,Reach,Lowest Cost,0.0481,1476299,2026-03-18,2026-05-06
ADG_140,CMP_049,Interest Ad Group 140,Interest,Reach,Cost Cap,2.5462,1034122,2026-01-16,2026-05-31
ADG_141,CMP_049,Interest Ad Group 141,Interest,Reach,Lowest Cost,3.5627,246703,2026-01-16,2026-05-31
ADG_142,CMP_050,Broad Ad Group 142,Broad,Conversion,Lowest Cost,0.1484,4017334,2026-03-16,2026-05-29
ADG_143,CMP_050,Retargeting Ad Group 143,Retargeting,Click,Lowest Cost,0.1283,749307,2026-03-16,2026-05-29
ADG_144,CMP_050,Interest Ad Group 144,Interest,Conversion,Lowest Cost,0.1278,537084,2026-03-16,2026-05-29
ADG_145,CMP_051,Broad Ad Group 145,Broad,Reach,Lowest Cost,0.1745,1100336,2026-01-27,2026-05-06
ADG_146,CMP_051,Broad Ad Group 146,Broad,Click,Cost Cap,0.1226,463646,2026-01-27,2026-05-06
ADG_147,CMP_051,Retargeting Ad Group 147,Retargeting,Click,Bid Cap,0.2198,92149,2026-01-27,2026-05-06
ADG_148,CMP_052,Interest Ad Group 148,Interest,Reach,Bid Cap,1.5299,921998,2025-12-09,2026-02-03
ADG_149,CMP_052,Retargeting Ad Group 149,Retargeting,Reach,Lowest Cost,1.558,2997618,2025-12-09,2026-02-03
ADG_150,CMP_053,Retargeting Ad Group 150,Retargeting,Reach,Cost Cap,2.2457,340337,2026-01-03,2026-05-23
ADG_151,CMP_053,Lookalike Ad Group 151,Lookalike,Reach,Lowest Cost,1.371,1089115,2026-01-03,2026-05-23
ADG_152,CMP_053,Broad Ad Group 152,Broad,Reach,Cost Cap,2.3897,1298850,2026-01-03,2026-05-23
ADG_153,CMP_053,Interest Ad Group 153,Interest,Reach,Cost Cap,3.0158,854162,2026-01-03,2026-05-23
ADG_154,CMP_054,Retargeting Ad Group 154,Retargeting,Conversion,Cost Cap,0.2883,955655,2026-03-27,2026-05-11
ADG_155,CMP_054,Interest Ad Group 155,Interest,Conversion,Cost Cap,0.3178,535327,2026-03-27,2026-05-11
ADG_156,CMP_054,Interest Ad Group 156,Interest,Conversion,Lowest Cost,0.2327,6408240,2026-03-27,2026-05-11
ADG_157,CMP_054,Interest Ad Group 157,Interest,Conversion,Cost Cap,0.0855,3869822,2026-03-27,2026-05-11
ADG_158,CMP_055,Interest Ad Group 158,Interest,Conversion,Lowest Cost,3.2197,5147371,2026-03-03,2026-05-31
ADG_159,CMP_055,Interest Ad Group 159,Interest,Conversion,Lowest Cost,3.9173,1444327,2026-03-03,2026-05-31
ADG_160,CMP_055,Retargeting Ad Group 160,Retargeting,Conversion,Cost Cap,1.0852,5705003,2026-03-03,2026-05-31
ADG_161,CMP_055,Retargeting Ad Group 161,Retargeting,Conversion,Lowest Cost,1.642,4157025,2026-03-03,2026-05-31
ADG_162,CMP_056,Interest Ad Group 162,Interest,Reach,Lowest Cost,3.8156,7612674,2026-01-26,2026-04-09
ADG_163,CMP_056,Interest Ad Group 163,Interest,Click,Lowest Cost,2.4037,1180965,2026-01-26,2026-04-09
ADG_164,CMP_057,Lookalike Ad Group 164,Lookalike,Click,Cost Cap,3.3281,120461,2026-03-20,2026-05-31
ADG_165,CMP_057,Retargeting Ad Group 165,Retargeting,Reach,Bid Cap,2.8511,1454477,2026-03-20,2026-05-31
ADG_166,CMP_057,Retargeting Ad Group 166,Retargeting,Reach,Lowest Cost,2.0757,1172577,2026-03-20,2026-05-31
ADG_167,CMP_058,Lookalike Ad Group 167,Lookalike,Click,Bid Cap,0.223,952467,2026-01-17,2026-05-26
ADG_168,CMP_058,Lookalike Ad Group 168,Lookalike,Click,Lowest Cost,0.291,1127506,2026-01-17,2026-05-26
ADG_169,CMP_058,Broad Ad Group 169,Broad,Click,Lowest Cost,0.3517,236104,2026-01-17,2026-05-26
ADG_170,CMP_058,Broad Ad Group 170,Broad,Reach,Lowest Cost,0.1211,3119715,2026-01-17,2026-05-26
ADG_171,CMP_059,Broad Ad Group 171,Broad,Click,Lowest Cost,0.3123,6129988,2025-12-10,2026-04-02
ADG_172,CMP_059,Interest Ad Group 172,Interest,Click,Lowest Cost,0.2157,955462,2025-12-10,2026-04-02
ADG_173,CMP_060,Broad Ad Group 173,Broad,Reach,Lowest Cost,0.8614,902420,2025-12-19,2026-03-31
ADG_174,CMP_060,Broad Ad Group 174,Broad,Reach,Lowest Cost,3.4698,193132,2025-12-19,2026-03-31
ADG_175,CMP_061,Broad Ad Group 175,Broad,Conversion,Lowest Cost,0.3877,1459325,2026-02-18,2026-04-05
ADG_176,CMP_061,Retargeting Ad Group 176,Retargeting,Conversion,Lowest Cost,0.2078,336553,2026-02-18,2026-04-05
ADG_177,CMP_062,Retargeting Ad Group 177,Retargeting,Click,Cost Cap,0.0806,384224,2025-12-24,2026-02-18
ADG_178,CMP_062,Lookalike Ad Group 178,Lookalike,Conversion,Cost Cap,0.3137,299861,2025-12-24,2026-02-18
ADG_179,CMP_063,Broad Ad Group 179,Broad,Click,Lowest Cost,0.3221,887510,2026-03-11,2026-05-06
ADG_180,CMP_063,Retargeting Ad Group 180,Retargeting,Click,Lowest Cost,0.2534,1362361,2026-03-11,2026-05-06
ADG_181,CMP_064,Lookalike Ad Group 181,Lookalike,Reach,Cost Cap,1.9355,1478532,2026-01-13,2026-03-27
ADG_182,CMP_064,Retargeting Ad Group 182,Retargeting,Video Complete,Lowest Cost,1.0629,1173887,2026-01-13,2026-03-27
ADG_183,CMP_064,Interest Ad Group 183,Interest,Video Complete,Lowest Cost,2.768,5518365,2026-01-13,2026-03-27
ADG_184,CMP_064,Broad Ad Group 184,Broad,Video Complete,Lowest Cost,1.1647,6812399,2026-01-13,2026-03-27
ADG_185,CMP_065,Broad Ad Group 185,Broad,Click,Bid Cap,0.1398,150119,2026-03-24,2026-05-31
ADG_186,CMP_065,Broad Ad Group 186,Broad,Click,Bid Cap,0.3083,692985,2026-03-24,2026-05-31
ADG_187,CMP_065,Lookalike Ad Group 187,Lookalike,Click,Lowest Cost,0.3044,2122893,2026-03-24,2026-05-31
ADG_188,CMP_066,Broad Ad Group 188,Broad,Conversion,Lowest Cost,3.2102,2380412,2026-02-12,2026-05-31
ADG_189,CMP_066,Broad Ad Group 189,Broad,Conversion,Lowest Cost,3.8884,822955,2026-02-12,2026-05-31
ADG_190,CMP_066,Retargeting Ad Group 190,Retargeting,Click,Cost Cap,1.139,429725,2026-02-12,2026-05-31
ADG_191,CMP_066,Lookalike Ad Group 191,Lookalike,Conversion,Lowest Cost,2.5857,135147,2026-02-12,2026-05-31
ADG_192,CMP_067,Retargeting Ad Group 192,Retargeting,Reach,Cost Cap,3.4084,831116,2026-01-27,2026-05-26
ADG_193,CMP_067,Retargeting Ad Group 193,Retargeting,Click,Cost Cap,0.8353,682017,2026-01-27,2026-05-26
ADG_194,CMP_067,Broad Ad Group 194,Broad,Reach,Lowest Cost,3.6053,923886,2026-01-27,2026-05-26
ADG_195,CMP_068,Lookalike Ad Group 195,Lookalike,Conversion,Lowest Cost,0.215,344167,2026-03-31,2026-05-31
ADG_196,CMP_068,Broad Ad Group 196,Broad,Conversion,Lowest Cost,0.2109,148099,2026-03-31,2026-05-31
ADG_197,CMP_068,Interest Ad Group 197,Interest,Conversion,Cost Cap,0.2914,96029,2026-03-31,2026-05-31
ADG_198,CMP_069,Interest Ad Group 198,Interest,Conversion,Lowest Cost,0.1837,5183444,2026-03-09,2026-05-28
ADG_199,CMP_069,Interest Ad Group 199,Interest,Conversion,Lowest Cost,0.1813,476256,2026-03-09,2026-05-28
ADG_200,CMP_069,Broad Ad Group 200,Broad,Click,Cost Cap,0.3434,1002272,2026-03-09,2026-05-28
ADG_201,CMP_069,Interest Ad Group 201,Interest,Conversion,Cost Cap,0.4465,588490,2026-03-09,2026-05-28
ADG_202,CMP_070,Interest Ad Group 202,Interest,Click,Lowest Cost,3.0408,628981,2026-01-31,2026-05-31
ADG_203,CMP_070,Broad Ad Group 203,Broad,Click,Lowest Cost,2.1749,292978,2026-01-31,2026-05-31
ADG_204,CMP_071,Interest Ad Group 204,Interest,Click,Cost Cap,0.3025,3077969,2026-03-09,2026-05-31
ADG_205,CMP_071,Retargeting Ad Group 205,Retargeting,Conversion,Lowest Cost,0.1401,3211672,2026-03-09,2026-05-31
ADG_206,CMP_072,Lookalike Ad Group 206,Lookalike,Click,Lowest Cost,0.1629,1519675,2026-02-27,2026-05-31
ADG_207,CMP_072,Lookalike Ad Group 207,Lookalike,Click,Lowest Cost,0.3879,6838924,2026-02-27,2026-05-31
ADG_208,CMP_073,Broad Ad Group 208,Broad,Reach,Lowest Cost,0.263,3592101,2026-03-15,2026-05-17
ADG_209,CMP_073,Broad Ad Group 209,Broad,Click,Bid Cap,0.2741,5041483,2026-03-15,2026-05-17
ADG_210,CMP_073,Interest Ad Group 210,Interest,Click,Bid Cap,0.108,1950930,2026-03-15,2026-05-17
ADG_211,CMP_073,Interest Ad Group 211,Interest,Click,Lowest Cost,0.1105,529350,2026-03-15,2026-05-17
ADG_212,CMP_074,Lookalike Ad Group 212,Lookalike,Click,Lowest Cost,2.5361,445232,2026-01-21,2026-05-28
ADG_213,CMP_074,Broad Ad Group 213,Broad,Reach,Lowest Cost,1.2511,7332801,2026-01-21,2026-05-28
ADG_214,CMP_075,Retargeting Ad Group 214,Retargeting,Reach,Lowest Cost,2.44,2597353,2025-12-12,2026-02-19
ADG_215,CMP_075,Retargeting Ad Group 215,Retargeting,Reach,Lowest Cost,3.5908,4130723,2025-12-12,2026-02-19
ADG_216,CMP_075,Interest Ad Group 216,Interest,Reach,Bid Cap,3.6147,514586,2025-12-12,2026-02-19
ADG_217,CMP_075,Lookalike Ad Group 217,Lookalike,Reach,Lowest Cost,1.0087,574023,2025-12-12,2026-02-19
ADG_218,CMP_076,Broad Ad Group 218,Broad,Reach,Cost Cap,0.0366,217924,2025-12-16,2026-03-27
ADG_219,CMP_076,Interest Ad Group 219,Interest,Reach,Cost Cap,0.0504,668854,2025-12-16,2026-03-27
ADG_220,CMP_076,Lookalike Ad Group 220,Lookalike,Reach,Lowest Cost,0.0587,480257,2025-12-16,2026-03-27
ADG_221,CMP_076,Interest Ad Group 221,Interest,Click,Lowest Cost,0.0455,3268967,2025-12-16,2026-03-27
