campaign_id,advertiser_id,campaign_name,objective,buying_type,campaign_status,start_date,end_date,total_budget_usd,daily_budget_usd
CMP_033,ADV_010,Conversion Campaign 33,Conversion,CPC,Active,2026-03-07,2026-05-31,46926.54,545.66
CMP_034,ADV_011,Conversion Campaign 34,Conversion,CPC,Completed,2025-12-17,2026-03-15,38301.27,430.35
CMP_035,ADV_011,Video Views Campaign 35,Video Views,CPM,Active,2026-03-09,2026-05-31,36499.15,434.51
CMP_036,ADV_011,Traffic Campaign 36,Traffic,CPC,Active,2026-03-05,2026-05-31,39028.83,443.51
CMP_037,ADV_011,Awareness Campaign 37,Awareness,CPM,Completed,2026-01-01,2026-05-12,27534.76,208.6
CMP_038,ADV_012,Awareness Campaign 38,Awareness,CPM,Active,2026-03-05,2026-05-31,82863.03,941.63
CMP_039,ADV_012,Conversion Campaign 39,Conversion,CPM,Completed,2026-01-01,2026-04-02,109622.21,1191.55
CMP_040,ADV_012,Awareness Campaign 40,Awareness,CPM,Completed,2025-12-02,2026-04-15,132253.2,979.65
CMP_041,ADV_012,Conversion Campaign 41,Conversion,CPC,Completed,2026-01-17,2026-04-10,50362.46,599.55
CMP_042,ADV_013,Traffic Campaign 42,Traffic,CPC,Completed,2025-12-24,2026-02-19,8521.71,146.93
CMP_043,ADV_013,Awareness Campaign 43,Awareness,CPM,Completed,2025-12-20,2026-04-08,15775.16,143.41
CMP_044,ADV_013,Traffic Campaign 44,Traffic,CPC,Active,2026-03-25,2026-05-31,8779.72,129.11
CMP_045,ADV_013,Conversion Campaign 45,Conversion,CPM,Active,2026-02-01,2026-05-31,27394.85,228.29
CMP_046,ADV_014,Traffic Campaign 46,Traffic,CPC,Completed,2026-01-27,2026-05-09,4559.81,44.27
CMP_047,ADV_014,Awareness Campaign 47,Awareness,CPV,Completed,2026-01-23,2026-05-07,9001.77,85.73
CMP_048,ADV_014,Video Views Campaign 48,Video Views,CPV,Completed,2026-03-18,2026-05-06,5200.86,104.02
CMP_049,ADV_015,Awareness Campaign 49,Awareness,CPM,Active,2026-01-16,2026-05-31,44927.85,330.35
CMP_050,ADV_015,Conversion Campaign 50,Conversion,CPC,Completed,2026-03-16,2026-05-29,10016.42,133.55
CMP_051,ADV_015,Traffic Campaign 51,Traffic,CPC,Completed,2026-01-27,2026-05-06,20278.4,202.78
CMP_052,ADV_016,Video Views Campaign 52,Video Views,CPM,Completed,2025-12-09,2026-02-03,5543.44,97.25
CMP_053,ADV_016,Awareness Campaign 53,Awareness,CPM,Completed,2026-01-03,2026-05-23,16481.73,116.89
CMP_054,ADV_016,Conversion Campaign 54,Conversion,CPC,Completed,2026-03-27,2026-05-11,7989.33,173.68
CMP_055,ADV_017,Conversion Campaign 55,Conversion,CPM,Active,2026-03-03,2026-05-31,18157.61,201.75
CMP_056,ADV_017,Traffic Campaign 56,Traffic,CPM,Completed,2026-01-26,2026-04-09,11714.49,158.3
CMP_057,ADV_017,Awareness Campaign 57,Awareness,CPM,Active,2026-03-20,2026-05-31,25711.12,352.21
CMP_058,ADV_017,Traffic Campaign 58,Traffic,CPC,Completed,2026-01-17,2026-05-26,35911.94,276.25
CMP_059,ADV_018,Traffic Campaign 59,Traffic,CPC,Completed,2025-12-10,2026-04-02,125819.33,1103.68
CMP_060,ADV_018,Awareness Campaign 60,Awareness,CPM,Completed,2025-12-19,2026-03-31,79916.04,775.88
CMP_061,ADV_019,Conversion Campaign 61,Conversion,CPC,Completed,2026-02-18,2026-04-05,6051.19,128.75
CMP_062,ADV_019,Conversion Campaign 62,Conversion,CPC,Completed,2025-12-24,2026-02-18,14141.48,248.1
CMP_063,ADV_020,Traffic Campaign 63,Traffic,CPC,Completed,2026-03-11,2026-05-06,14102.59,247.41
CMP_064,ADV_020,Video Views Campaign 64,Video Views,CPM,Completed,2026-01-13,2026-03-27,10573.8,142.89
CMP_065,ADV_021,Traffic Campaign 65,Traffic,CPC,Active,2026-03-24,2026-05-31,6011.11,87.12
CMP_066,ADV_021,Conversion Campaign 66,Conversion,CPM,Active,2026-02-12,2026-05-31,9557.93,87.69
CMP_067,ADV_021,Awareness Campaign 67,Awareness,CPM,Completed,2026-01-27,2026-05-26,19541.53,162.85
CMP_068,ADV_021,Conversion Campaign 68,Conversion,CPC,Active,2026-03-31,2026-05-31,4020.18,64.84
CMP_069,ADV_022,Conversion Campaign 69,Conversion,CPC,Completed,2026-03-09,2026-05-28,7458.69,92.08
CMP_070,ADV_022,Conversion Campaign 70,Conversion,CPM,Active,2026-01-31,2026-05-31,19381.51,160.18
CMP_071,ADV_023,Conversion Campaign 71,Conversion,CPC,Active,2026-03-09,2026-05-31,56369.84,671.07
CMP_072,ADV_023,Traffic Campaign 72,Traffic,CPC,Active,2026-02-27,2026-05-31,56681.05,602.99
CMP_073,ADV_024,Traffic Campaign 73,Traffic,CPC,Completed,2026-03-15,2026-05-17,27366.0,427.59
CMP_074,ADV_024,Traffic Campaign 74,Traffic,CPM,Completed,2026-01-21,2026-05-28,98441.19,769.07
CMP_075,ADV_024,Awareness Campaign 75,Awareness,CPM,Completed,2025-12-12,2026-02-19,57445.33,820.65
CMP_076,ADV_024,Awareness Campaign 76,Awareness,CPV,Completed,2025-12-16,2026-03-27,45537.38,446.44
