conversion_event_id,performance_id,date,conversion_type,conversions,conversion_value_usd,attribution_window_day
CNV_00000049,PERF_00000561,2025-12-14,Add to Cart,1,24.3262,1
CNV_00000050,PERF_00000562,2025-12-14,Purchase,1,94.7408,14
CNV_00000051,PERF_00000583,2025-12-15,Signup,1,22.1689,14
CNV_00000052,PERF_00000585,2025-12-15,Signup,2,32.9763,14
CNV_00000053,PERF_00000586,2025-12-15,Purchase,1,71.9618,7
CNV_00000054,PERF_00000612,2025-12-15,Signup,1,13.6836,28
CNV_00000055,PERF_00000618,2025-12-15,Purchase,2,71.8968,7
CNV_00000056,PERF_00000631,2025-12-15,Purchase,3,70.6132,7
CNV_00000057,PERF_00000638,2025-12-15,Add to Cart,3,16.2598,7
CNV_00000058,PERF_00000664,2025-12-16,Lead,2,87.9243,1
CNV_00000059,PERF_00000676,2025-12-16,Purchase,2,64.9306,7
CNV_00000060,PERF_00000683,2025-12-16,Add to Cart,1,20.7882,7
CNV_00000061,PERF_00000687,2025-12-16,Purchase,3,248.1499,7
CNV_00000062,PERF_00000703,2025-12-16,Lead,1,14.3809,1
CNV_00000063,PERF_00000707,2025-12-16,Signup,2,18.3325,7
CNV_00000064,PERF_00000711,2025-12-16,Add to Cart,2,40.9885,1
CNV_00000065,PERF_00000740,2025-12-17,Lead,1,20.2184,7
CNV_00000066,PERF_00000747,2025-12-17,Add to Cart,2,36.8742,7
CNV_00000067,PERF_00000751,2025-12-17,Purchase,1,18.8875,14
CNV_00000068,PERF_00000753,2025-12-17,Signup,3,12.811,14
CNV_00000069,PERF_00000755,2025-12-17,Signup,1,6.4703,1
CNV_00000070,PERF_00000762,2025-12-17,Lead,1,27.5419,1
CNV_00000071,PERF_00000773,2025-12-17,Signup,3,26.6551,14
CNV_00000072,PERF_00000774,2025-12-17,Signup,1,23.1618,14
CNV_00000073,PERF_00000775,2025-12-17,Lead,7,102.6829,7
CNV_00000074,PERF_00000776,2025-12-17,Purchase,1,118.0568,7
CNV_00000075,PERF_00000783,2025-12-17,Signup,1,5.8694,1
CNV_00000076,PERF_00000806,2025-12-17,Purchase,4,243.7292,14
CNV_00000077,PERF_00000821,2025-12-18,Purchase,1,52.9728,7
CNV_00000078,PERF_00000828,2025-12-18,Signup,1,7.6483,14
CNV_00000079,PERF_00000831,2025-12-18,Purchase,1,116.0129,7
CNV_00000080,PERF_00000837,2025-12-18,Purchase,7,749.3915,14
CNV_00000081,PERF_00000838,2025-12-18,Lead,2,56.1688,7
CNV_00000082,PERF_00000840,2025-12-18,Lead,2,18.6589,7
CNV_00000083,PERF_00000843,2025-12-18,Lead,2,23.3138,7
CNV_00000084,PERF_00000844,2025-12-18,Signup,1,23.205,7
CNV_00000085,PERF_00000856,2025-12-18,Signup,1,12.6149,1
CNV_00000086,PERF_00000859,2025-12-18,Lead,2,66.8737,7
CNV_00000087,PERF_00000860,2025-12-18,Signup,3,56.6718,7
CNV_00000088,PERF_00000861,2025-12-18,Signup,1,12.2093,1
CNV_00000089,PERF_00000864,2025-12-18,Purchase,1,46.1548,14
CNV_00000090,PERF_00000884,2025-12-18,Purchase,1,59.33,1
CNV_00000091,PERF_00000885,2025-12-18,Purchase,1,23.2918,7
CNV_00000092,PERF_00000897,2025-12-18,Purchase,2,132.4426,7
CNV_00000093,PERF_00000911,2025-12-19,Add to Cart,1,8.1301,14
CNV_00000094,PERF_00000921,2025-12-19,Purchase,1,19.0989,14
CNV_00000095,PERF_00000923,2025-12-19,Signup,1,13.4876,14
CNV_00000096,PERF_00000928,2025-12-19,Lead,7,189.8619,1
CNV_00000097,PERF_00000930,2025-12-19,Purchase,1,107.7626,28
CNV_00000098,PERF_00000938,2025-12-19,Lead,1,25.5281,14
CNV_00000099,PERF_00000947,2025-12-19,Add to Cart,1,33.8498,1
CNV_00000100,PERF_00000961,2025-12-19,Signup,1,24.4632,7
CNV_00000101,PERF_00000973,2025-12-19,Purchase,2,236.98,7
CNV_00000102,PERF_00000974,2025-12-19,Add to Cart,2,61.6973,7
CNV_00000103,PERF_00000978,2025-12-19,Signup,6,89.9397,7
CNV_00000104,PERF_00001002,2025-12-20,Purchase,1,105.5451,28
CNV_00000105,PERF_00001014,2025-12-20,Signup,5,33.8172,7
CNV_00000106,PERF_00001015,2025-12-20,Signup,1,8.6239,7
CNV_00000107,PERF_00001017,2025-12-20,Signup,2,16.6845,7
CNV_00000108,PERF_00001020,2025-12-20,Lead,2,53.3365,14
CNV_00000109,PERF_00001050,2025-12-20,Signup,1,8.4121,7
CNV_00000110,PERF_00001061,2025-12-20,Signup,2,31.758,7
CNV_00000111,PERF_00001086,2025-12-20,Add to Cart,3,18.5787,14
CNV_00000112,PERF_00001093,2025-12-20,Signup,1,22.6863,7
CNV_00000113,PERF_00001095,2025-12-20,Signup,2,45.2632,14
CNV_00000114,PERF_00001106,2025-12-21,Add to Cart,1,6.9195,1
CNV_00000115,PERF_00001109,2025-12-21,Add to Cart,1,10.9299,1
CNV_00000116,PERF_00001126,2025-12-21,Lead,1,38.7608,14
CNV_00000117,PERF_00001127,2025-12-21,Purchase,2,160.7331,7
CNV_00000118,PERF_00001128,2025-12-21,Lead,2,68.7172,28
CNV_00000119,PERF_00001129,2025-12-21,Signup,2,49.3229,28
CNV_00000120,PERF_00001130,2025-12-21,Purchase,2,211.2087,1
CNV_00000121,PERF_00001205,2025-12-22,Purchase,1,48.0419,7
CNV_00000122,PERF_00001208,2025-12-22,Purchase,2,217.6894,1
CNV_00000123,PERF_00001213,2025-12-22,Purchase,1,25.9152,7
CNV_00000124,PERF_00001217,2025-12-22,Lead,1,14.7192,7
CNV_00000125,PERF_00001223,2025-12-22,Add to Cart,1,23.8945,14
CNV_00000126,PERF_00001229,2025-12-22,Lead,1,36.8279,1
CNV_00000127,PERF_00001230,2025-12-22,Signup,2,34.004,1
CNV_00000128,PERF_00001235,2025-12-22,Add to Cart,3,99.786,7
CNV_00000129,PERF_00001239,2025-12-22,Purchase,4,392.8763,14
CNV_00000130,PERF_00001249,2025-12-22,Signup,2,11.1653,14
CNV_00000131,PERF_00001250,2025-12-22,Lead,1,39.2017,7
CNV_00000132,PERF_00001251,2025-12-22,Purchase,1,43.4293,14
CNV_00000133,PERF_00001252,2025-12-22,Purchase,1,25.1813,7
CNV_00000134,PERF_00001253,2025-12-22,Add to Cart,5,145.206,7
CNV_00000135,PERF_00001256,2025-12-22,Lead,5,205.5438,7
CNV_00000136,PERF_00001278,2025-12-22,Lead,4,123.0379,1
CNV_00000137,PERF_00001280,2025-12-22,Purchase,9,1014.1497,14
CNV_00000138,PERF_00001281,2025-12-22,Purchase,2,163.2426,1
CNV_00000139,PERF_00001282,2025-12-22,Add to Cart,4,97.9616,14
CNV_00000140,PERF_00001283,2025-12-22,Add to Cart,1,8.9703,14
CNV_00000141,PERF_00001312,2025-12-22,Add to Cart,3,103.4737,7
CNV_00000142,PERF_00001318,2025-12-23,Signup,1,24.1907,1
CNV_00000143,PERF_00001329,2025-12-23,Add to Cart,2,63.3127,14
CNV_00000144,PERF_00001335,2025-12-23,Signup,4,12.7829,7
CNV_00000145,PERF_00001339,2025-12-23,Purchase,1,56.8275,28
CNV_00000146,PERF_00001363,2025-12-23,Add to Cart,3,60.3329,1
CNV_00000147,PERF_00001370,2025-12-23,Lead,1,40.043,14
CNV_00000148,PERF_00001372,2025-12-23,Purchase,2,86.0586,1
CNV_00000149,PERF_00001374,2025-12-23,Signup,1,10.7452,14
CNV_00000150,PERF_00001395,2025-12-23,Signup,1,20.396,7
CNV_00000151,PERF_00001404,2025-12-23,Purchase,1,31.4674,7
CNV_00000152,PERF_00001405,2025-12-23,Signup,4,47.7128,1
CNV_00000153,PERF_00001433,2025-12-23,Purchase,5,345.303,7
CNV_00000154,PERF_00001455,2025-12-24,Add to Cart,3,97.5323,7
CNV_00000155,PERF_00001457,2025-12-24,Purchase,6,617.2825,1
CNV_00000156,PERF_00001458,2025-12-24,Add to Cart,1,21.6859,7
CNV_00000157,PERF_00001463,2025-12-24,Purchase,2,157.9759,7
CNV_00000158,PERF_00001474,2025-12-24,Signup,9,84.2302,7
CNV_00000159,PERF_00001475,2025-12-24,Lead,1,13.5341,7
CNV_00000160,PERF_00001482,2025-12-24,Purchase,1,112.7175,1
CNV_00000161,PERF_00001483,2025-12-24,Purchase,1,119.6185,7
CNV_00000162,PERF_00001484,2025-12-24,Add to Cart,1,33.9123,28
CNV_00000163,PERF_00001487,2025-12-24,Signup,1,10.9364,1
CNV_00000164,PERF_00001488,2025-12-24,Purchase,3,201.1838,7
CNV_00000165,PERF_00001490,2025-12-24,Add to Cart,1,11.4832,7
CNV_00000166,PERF_00001496,2025-12-24,Purchase,3,243.9528,7
CNV_00000167,PERF_00001498,2025-12-24,Lead,1,32.951,7
CNV_00000168,PERF_00001510,2025-12-24,Purchase,1,43.2626,7
CNV_00000169,PERF_00001518,2025-12-24,Purchase,1,114.8055,7
CNV_00000170,PERF_00001533,2025-12-24,Purchase,2,49.4497,1
CNV_00000171,PERF_00001542,2025-12-24,Lead,4,97.8562,1
CNV_00000172,PERF_00001543,2025-12-24,Lead,4,123.2105,7
CNV_00000173,PERF_00001552,2025-12-24,Purchase,1,96.6073,7
CNV_00000174,PERF_00001583,2025-12-25,Lead,5,221.4202,7
CNV_00000175,PERF_00001584,2025-12-25,Purchase,3,283.171,7
CNV_00000176,PERF_00001585,2025-12-25,Add to Cart,2,30.9333,14
CNV_00000177,PERF_00001587,2025-12-25,Signup,4,96.5003,28
CNV_00000178,PERF_00001599,2025-12-25,Purchase,4,253.2996,7
CNV_00000179,PERF_00001601,2025-12-25,Lead,14,618.316,14
CNV_00000180,PERF_00001602,2025-12-25,Add to Cart,4,52.9589,7
CNV_00000181,PERF_00001604,2025-12-25,Purchase,5,360.7384,7
CNV_00000182,PERF_00001605,2025-12-25,Add to Cart,3,86.2039,1
CNV_00000183,PERF_00001615,2025-12-25,Signup,4,91.3306,1
CNV_00000184,PERF_00001627,2025-12-25,Signup,3,37.151,28
CNV_00000185,PERF_00001631,2025-12-25,Signup,1,10.3563,7
CNV_00000186,PERF_00001644,2025-12-25,Purchase,2,119.4825,14
CNV_00000187,PERF_00001647,2025-12-25,Add to Cart,2,58.2376,7
CNV_00000188,PERF_00001650,2025-12-25,Purchase,3,203.8266,14
CNV_00000189,PERF_00001654,2025-12-25,Purchase,3,240.3585,7
CNV_00000190,PERF_00001677,2025-12-25,Purchase,1,24.788,7
CNV_00000191,PERF_00001679,2025-12-25,Add to Cart,2,55.0218,14
CNV_00000192,PERF_00001683,2025-12-25,Lead,1,22.7943,28
CNV_00000193,PERF_00001686,2025-12-25,Signup,4,25.3126,1
CNV_00000194,PERF_00001690,2025-12-25,Lead,3,99.8916,28
CNV_00000195,PERF_00001700,2025-12-25,Lead,1,40.2468,7
CNV_00000196,PERF_00001707,2025-12-25,Add to Cart,3,53.8991,7
CNV_00000197,PERF_00001709,2025-12-25,Purchase,3,71.6359,7
CNV_00000198,PERF_00001731,2025-12-26,Signup,1,3.2439,28
CNV_00000199,PERF_00001739,2025-12-26,Purchase,2,84.6952,1
CNV_00000200,PERF_00001744,2025-12-26,Signup,2,17.8179,1
CNV_00000201,PERF_00001745,2025-12-26,Signup,1,15.9799,7
CNV_00000202,PERF_00001746,2025-12-26,Signup,2,34.6112,1
CNV_00000203,PERF_00001753,2025-12-26,Lead,3,69.2558,14
CNV_00000204,PERF_00001754,2025-12-26,Lead,11,290.5141,14
CNV_00000205,PERF_00001760,2025-12-26,Signup,1,16.9783,7
CNV_00000206,PERF_00001764,2025-12-26,Signup,1,19.7121,14
CNV_00000207,PERF_00001774,2025-12-26,Signup,3,39.2976,7
CNV_00000208,PERF_00001775,2025-12-26,Purchase,2,98.8451,1
CNV_00000209,PERF_00001781,2025-12-26,Lead,1,37.4842,7
CNV_00000210,PERF_00001802,2025-12-26,Lead,1,32.3166,7
CNV_00000211,PERF_00001809,2025-12-26,Purchase,1,119.0064,7
CNV_00000212,PERF_00001811,2025-12-26,Signup,2,35.9644,7
CNV_00000213,PERF_00001821,2025-12-26,Purchase,2,100.6641,7
CNV_00000214,PERF_00001823,2025-12-26,Purchase,2,149.2125,7
CNV_00000215,PERF_00001825,2025-12-26,Purchase,2,152.6824,7
CNV_00000216,PERF_00001827,2025-12-26,Purchase,2,213.0846,7
CNV_00000217,PERF_00001855,2025-12-27,Purchase,1,69.6835,7
CNV_00000218,PERF_00001868,2025-12-27,Purchase,1,79.8733,7
CNV_00000219,PERF_00001880,2025-12-27,Signup,2,49.7842,7
CNV_00000220,PERF_00001884,2025-12-27,Add to Cart,3,87.2794,7
CNV_00000221,PERF_00001888,2025-12-27,Purchase,2,98.5577,1
CNV_00000222,PERF_00001889,2025-12-27,Lead,5,80.5429,7
CNV_00000223,PERF_00001890,2025-12-27,Purchase,1,18.4068,7
CNV_00000224,PERF_00001901,2025-12-27,Signup,4,86.2149,14
CNV_00000225,PERF_00001911,2025-12-27,Signup,1,15.4706,14
CNV_00000226,PERF_00001912,2025-12-27,Purchase,6,562.098,7
CNV_00000227,PERF_00001914,2025-12-27,Signup,2,23.1844,14
CNV_00000228,PERF_00001922,2025-12-27,Purchase,1,35.0047,7
CNV_00000229,PERF_00001936,2025-12-27,Purchase,2,214.9784,14
CNV_00000230,PERF_00001944,2025-12-27,Purchase,1,66.614,28
CNV_00000231,PERF_00001952,2025-12-27,Add to Cart,1,31.8665,14
CNV_00000232,PERF_00001959,2025-12-27,Signup,4,40.9364,1
CNV_00000233,PERF_00001961,2025-12-27,Purchase,2,132.012,28
CNV_00000234,PERF_00001968,2025-12-27,Add to Cart,1,10.609,1
CNV_00000235,PERF_00001977,2025-12-27,Signup,4,49.9785,7
CNV_00000236,PERF_00001978,2025-12-27,Signup,1,6.2524,28
CNV_00000237,PERF_00001982,2025-12-27,Lead,4,58.4536,7
CNV_00000238,PERF_00001996,2025-12-27,Purchase,2,131.8099,1
CNV_00000239,PERF_00002000,2025-12-28,Purchase,3,113.4054,7
CNV_00000240,PERF_00002003,2025-12-28,Lead,3,29.1089,7
CNV_00000241,PERF_00002004,2025-12-28,Signup,6,61.9738,7
CNV_00000242,PERF_00002005,2025-12-28,Purchase,3,158.8363,14
CNV_00000243,PERF_00002006,2025-12-28,Lead,3,110.3314,1
CNV_00000244,PERF_00002008,2025-12-28,Purchase,1,50.0614,1
CNV_00000245,PERF_00002024,2025-12-28,Signup,1,6.5379,28
CNV_00000246,PERF_00002033,2025-12-28,Signup,1,4.8461,1
CNV_00000247,PERF_00002034,2025-12-28,Purchase,2,69.0718,28
CNV_00000248,PERF_00002035,2025-12-28,Signup,2,30.7982,7
CNV_00000249,PERF_00002036,2025-12-28,Signup,2,13.9343,1
CNV_00000250,PERF_00002038,2025-12-28,Purchase,3,336.628,28
CNV_00000251,PERF_00002039,2025-12-28,Signup,3,29.8253,7
CNV_00000252,PERF_00002040,2025-12-28,Purchase,1,51.4906,1
CNV_00000253,PERF_00002047,2025-12-28,Lead,4,164.1191,7
CNV_00000254,PERF_00002056,2025-12-28,Purchase,4,361.6696,14
CNV_00000255,PERF_00002058,2025-12-28,Signup,10,205.6134,7
CNV_00000256,PERF_00002059,2025-12-28,Purchase,3,187.1378,14
CNV_00000257,PERF_00002061,2025-12-28,Purchase,12,283.478,1
CNV_00000258,PERF_00002062,2025-12-28,Add to Cart,5,91.5466,1
CNV_00000259,PERF_00002064,2025-12-28,Purchase,7,643.1195,1
CNV_00000260,PERF_00002067,2025-12-28,Signup,1,19.9006,1
CNV_00000261,PERF_00002072,2025-12-28,Add to Cart,3,28.8922,14
CNV_00000262,PERF_00002085,2025-12-28,Purchase,3,104.896,28
CNV_00000263,PERF_00002089,2025-12-28,Purchase,1,115.9624,7
CNV_00000264,PERF_00002090,2025-12-28,Purchase,1,22.383,1
CNV_00000265,PERF_00002095,2025-12-28,Signup,2,41.2827,7
CNV_00000266,PERF_00002111,2025-12-28,Add to Cart,2,63.0089,1
CNV_00000267,PERF_00002115,2025-12-28,Signup,2,35.7641,7
CNV_00000268,PERF_00002121,2025-12-28,Purchase,2,94.7155,7
CNV_00000269,PERF_00002129,2025-12-28,Purchase,10,611.9884,7
CNV_00000270,PERF_00002132,2025-12-28,Signup,1,16.6832,14
CNV_00000271,PERF_00002136,2025-12-28,Purchase,6,295.555,1
CNV_00000272,PERF_00002154,2025-12-29,Purchase,1,116.5384,1
CNV_00000273,PERF_00002155,2025-12-29,Signup,3,14.762,7
CNV_00000274,PERF_00002162,2025-12-29,Signup,2,14.2783,1
CNV_00000275,PERF_00002180,2025-12-29,Purchase,2,123.5379,28
CNV_00000276,PERF_00002189,2025-12-29,Purchase,1,102.4044,1
CNV_00000277,PERF_00002190,2025-12-29,Lead,1,42.1294,1
CNV_00000278,PERF_00002193,2025-12-29,Purchase,1,86.1168,28
CNV_00000279,PERF_00002197,2025-12-29,Lead,1,26.9659,7
CNV_00000280,PERF_00002208,2025-12-29,Lead,7,285.0216,7
CNV_00000281,PERF_00002209,2025-12-29,Signup,1,4.7498,1
CNV_00000282,PERF_00002212,2025-12-29,Lead,4,129.687,14
CNV_00000283,PERF_00002216,2025-12-29,Purchase,2,227.1443,1
CNV_00000284,PERF_00002234,2025-12-29,Add to Cart,1,24.0791,14
CNV_00000285,PERF_00002236,2025-12-29,Signup,4,98.5431,7
CNV_00000286,PERF_00002239,2025-12-29,Purchase,8,952.6006,1
CNV_00000287,PERF_00002240,2025-12-29,Signup,2,46.161,14
CNV_00000288,PERF_00002242,2025-12-29,Add to Cart,2,58.8122,7
CNV_00000289,PERF_00002245,2025-12-29,Purchase,1,55.5129,14
CNV_00000290,PERF_00002257,2025-12-29,Purchase,1,96.4728,7
CNV_00000291,PERF_00002276,2025-12-29,Signup,1,11.7791,1
CNV_00000292,PERF_00002277,2025-12-29,Add to Cart,2,64.0447,1
CNV_00000293,PERF_00002278,2025-12-29,Lead,2,68.3068,7
CNV_00000294,PERF_00002281,2025-12-29,Add to Cart,2,12.6956,28
CNV_00000295,PERF_00002283,2025-12-29,Signup,5,36.1147,28
CNV_00000296,PERF_00002305,2025-12-29,Signup,2,22.5526,1
CNV_00000297,PERF_00002311,2025-12-30,Lead,1,32.8836,14
CNV_00000298,PERF_00002312,2025-12-30,Signup,1,11.6404,7
CNV_00000299,PERF_00002314,2025-12-30,Signup,2,12.5757,28
CNV_00000300,PERF_00002315,2025-12-30,Signup,1,9.7528,7
CNV_00000301,PERF_00002317,2025-12-30,Purchase,4,317.8853,1
CNV_00000302,PERF_00002318,2025-12-30,Signup,3,72.0472,1
CNV_00000303,PERF_00002342,2025-12-30,Lead,2,19.5814,28
CNV_00000304,PERF_00002352,2025-12-30,Signup,2,8.3909,14
CNV_00000305,PERF_00002357,2025-12-30,Signup,2,49.814,7
CNV_00000306,PERF_00002364,2025-12-30,Signup,7,133.3968,14
CNV_00000307,PERF_00002365,2025-12-30,Add to Cart,3,94.6229,1
CNV_00000308,PERF_00002367,2025-12-30,Add to Cart,8,105.7129,1
CNV_00000309,PERF_00002368,2025-12-30,Signup,7,36.0833,7
CNV_00000310,PERF_00002371,2025-12-30,Add to Cart,6,209.0531,14
CNV_00000311,PERF_00002372,2025-12-30,Signup,1,21.7923,28
CNV_00000312,PERF_00002373,2025-12-30,Purchase,3,344.8739,28
CNV_00000313,PERF_00002381,2025-12-30,Purchase,1,110.9414,1
CNV_00000314,PERF_00002386,2025-12-30,Signup,9,191.9262,28
CNV_00000315,PERF_00002387,2025-12-30,Purchase,4,358.59,7
CNV_00000316,PERF_00002388,2025-12-30,Signup,4,49.7054,1
CNV_00000317,PERF_00002404,2025-12-30,Purchase,1,47.4447,14
CNV_00000318,PERF_00002409,2025-12-30,Purchase,2,125.4763,7
CNV_00000319,PERF_00002430,2025-12-30,Lead,2,79.9207,1
CNV_00000320,PERF_00002437,2025-12-30,Add to Cart,1,31.6125,7
CNV_00000321,PERF_00002438,2025-12-30,Purchase,4,425.3012,7
CNV_00000322,PERF_00002440,2025-12-30,Add to Cart,1,28.4321,7
CNV_00000323,PERF_00002442,2025-12-30,Add to Cart,4,93.3025,1
CNV_00000324,PERF_00002460,2025-12-30,Lead,4,130.3758,7
CNV_00000325,PERF_00002461,2025-12-30,Purchase,3,300.253,7
CNV_00000326,PERF_00002462,2025-12-30,Signup,1,16.0317,7
CNV_00000327,PERF_00002463,2025-12-30,Lead,1,26.7821,1
CNV_00000328,PERF_00002465,2025-12-30,Lead,2,83.91,7
CNV_00000329,PERF_00002475,2025-12-31,Signup,2,33.7357,28
CNV_00000330,PERF_00002480,2025-12-31,Purchase,2,175.6301,7
CNV_00000331,PERF_00002483,2025-12-31,Add to Cart,1,11.8035,7
CNV_00000332,PERF_00002484,2025-12-31,Signup,2,19.3374,1
CNV_00000333,PERF_00002495,2025-12-31,Purchase,2,214.2548,1
CNV_00000334,PERF_00002515,2025-12-31,Purchase,2,132.7569,7
CNV_00000335,PERF_00002519,2025-12-31,Lead,1,38.3564,14
CNV_00000336,PERF_00002524,2025-12-31,Lead,2,82.9662,7
CNV_00000337,PERF_00002525,2025-12-31,Add to Cart,1,7.9679,7
CNV_00000338,PERF_00002526,2025-12-31,Lead,1,27.536,28
CNV_00000339,PERF_00002530,2025-12-31,Purchase,2,86.3458,1
CNV_00000340,PERF_00002531,2025-12-31,Purchase,3,186.2677,7
CNV_00000341,PERF_00002532,2025-12-31,Lead,3,25.201,7
CNV_00000342,PERF_00002533,2025-12-31,Add to Cart,5,27.4385,28
CNV_00000343,PERF_00002534,2025-12-31,Purchase,3,268.9078,1
CNV_00000344,PERF_00002536,2025-12-31,Signup,4,25.9393,28
CNV_00000345,PERF_00002539,2025-12-31,Signup,2,38.0403,28
CNV_00000346,PERF_00002543,2025-12-31,Purchase,8,277.3461,7
CNV_00000347,PERF_00002553,2025-12-31,Lead,6,105.2024,7
CNV_00000348,PERF_00002559,2025-12-31,Lead,3,38.983,7
CNV_00000349,PERF_00002563,2025-12-31,Add to Cart,1,11.3842,1
CNV_00000350,PERF_00002568,2025-12-31,Signup,4,13.078,28
CNV_00000351,PERF_00002569,2025-12-31,Lead,2,59.7994,14
CNV_00000352,PERF_00002577,2025-12-31,Signup,4,81.3819,14
CNV_00000353,PERF_00002594,2025-12-31,Lead,2,80.4656,28
CNV_00000354,PERF_00002596,2025-12-31,Signup,2,16.881,7
CNV_00000355,PERF_00002601,2025-12-31,Purchase,3,185.7332,7
CNV_00000356,PERF_00002602,2025-12-31,Purchase,7,365.8365,1
CNV_00000357,PERF_00002604,2025-12-31,Add to Cart,2,50.5149,1
CNV_00000358,PERF_00002605,2025-12-31,Signup,3,16.0107,1
CNV_00000359,PERF_00002607,2025-12-31,Signup,9,32.3531,14
CNV_00000360,PERF_00002608,2025-12-31,Add to Cart,2,49.9211,28
CNV_00000361,PERF_00002620,2026-01-01,Purchase,4,415.985,28
CNV_00000362,PERF_00002623,2026-01-01,Purchase,1,29.1136,1
CNV_00000363,PERF_00002625,2026-01-01,Signup,1,18.266,7
CNV_00000364,PERF_00002632,2026-01-01,Purchase,2,65.9284,1
CNV_00000365,PERF_00002653,2026-01-01,Purchase,1,25.4218,7
CNV_00000366,PERF_00002670,2026-01-01,Purchase,2,101.0889,14
CNV_00000367,PERF_00002671,2026-01-01,Signup,4,49.3284,14
CNV_00000368,PERF_00002672,2026-01-01,Lead,3,113.0336,14
CNV_00000369,PERF_00002675,2026-01-01,Add to Cart,1,18.4789,7
CNV_00000370,PERF_00002679,2026-01-01,Signup,1,18.4279,7
CNV_00000371,PERF_00002681,2026-01-01,Purchase,1,82.1904,7
CNV_00000372,PERF_00002693,2026-01-01,Purchase,20,1295.9879,14
CNV_00000373,PERF_00002694,2026-01-01,Lead,4,175.1291,7
CNV_00000374,PERF_00002695,2026-01-01,Lead,3,91.5311,28
CNV_00000375,PERF_00002696,2026-01-01,Add to Cart,9,137.4834,7
CNV_00000376,PERF_00002703,2026-01-01,Purchase,1,62.3641,1
CNV_00000377,PERF_00002706,2026-01-01,Purchase,6,419.2971,1
CNV_00000378,PERF_00002708,2026-01-01,Purchase,3,232.8781,14
CNV_00000379,PERF_00002717,2026-01-01,Signup,2,41.4998,7
