video_performance_id,performance_id,date,creative_id,video_starts,video_25p,video_50p,video_75p,video_completes,video_completion_rate
VID_00000059,PERF_00000111,2025-12-04,CRE_066,3876,3050,2628,2383,1925,0.496646
VID_00000060,PERF_00000112,2025-12-04,CRE_070,5466,5192,4422,4090,3559,0.651116
VID_00000061,PERF_00000115,2025-12-04,CRE_068,4258,3179,2621,2188,1876,0.440582
VID_00000062,PERF_00000117,2025-12-04,CRE_126,4636,3533,2636,2311,1790,0.386109
VID_00000063,PERF_00000119,2025-12-04,CRE_129,12436,7390,5580,4253,3307,0.265922
VID_00000064,PERF_00000120,2025-12-04,CRE_128,20050,19047,16970,14513,12570,0.626933
VID_00000065,PERF_00000121,2025-12-04,CRE_129,7405,5031,3715,2503,2088,0.281972
VID_00000066,PERF_00000122,2025-12-04,CRE_129,19150,14166,10191,7615,6532,0.341097
VID_00000067,PERF_00000124,2025-12-04,CRE_132,5243,4827,4481,3489,3181,0.606714
VID_00000068,PERF_00000126,2025-12-05,CRE_039,3255,2757,2551,2010,1818,0.558525
VID_00000069,PERF_00000127,2025-12-05,CRE_039,1021,840,705,565,490,0.479922
VID_00000070,PERF_00000128,2025-12-05,CRE_039,2784,2397,1806,1468,1303,0.468032
VID_00000071,PERF_00000129,2025-12-05,CRE_039,818,672,520,444,363,0.443765
VID_00000072,PERF_00000131,2025-12-05,CRE_039,3726,3166,2332,2146,1766,0.473967
VID_00000073,PERF_00000132,2025-12-05,CRE_039,1759,1671,1473,1276,1143,0.649801
VID_00000074,PERF_00000133,2025-12-05,CRE_039,3436,2847,2389,2061,1867,0.543364
VID_00000075,PERF_00000134,2025-12-05,CRE_039,1045,916,678,555,502,0.480383
VID_00000076,PERF_00000136,2025-12-05,CRE_042,6200,4178,2939,2420,1976,0.31871
VID_00000077,PERF_00000137,2025-12-05,CRE_040,1545,1175,1023,772,691,0.447249
VID_00000078,PERF_00000138,2025-12-05,CRE_046,4972,3025,2161,2023,1432,0.288013
VID_00000079,PERF_00000139,2025-12-05,CRE_043,5655,2733,2480,1531,1135,0.200707
VID_00000080,PERF_00000140,2025-12-05,CRE_045,5955,3419,2425,1778,1206,0.202519
VID_00000081,PERF_00000141,2025-12-05,CRE_045,9196,5266,4018,2940,2300,0.250109
VID_00000082,PERF_00000142,2025-12-05,CRE_042,5562,3102,2906,1905,1530,0.275081
VID_00000083,PERF_00000145,2025-12-05,CRE_045,3071,1957,1524,1010,852,0.277434
VID_00000084,PERF_00000146,2025-12-05,CRE_045,5047,2991,1825,1374,1074,0.2128
VID_00000085,PERF_00000148,2025-12-05,CRE_070,6774,5778,4354,3839,3262,0.481547
VID_00000086,PERF_00000149,2025-12-05,CRE_068,3675,3120,2722,2475,2042,0.555646
VID_00000087,PERF_00000150,2025-12-05,CRE_067,3609,3018,2525,2069,1870,0.518149
VID_00000088,PERF_00000156,2025-12-05,CRE_128,7937,7125,5587,4828,4420,0.556885
VID_00000089,PERF_00000158,2025-12-05,CRE_125,22015,13958,11891,9849,7655,0.347717
VID_00000090,PERF_00000160,2025-12-05,CRE_126,21001,15207,14131,11578,9298,0.442741
VID_00000091,PERF_00000161,2025-12-05,CRE_132,16144,12865,9683,8690,6890,0.426784
VID_00000092,PERF_00000163,2025-12-05,CRE_128,18039,14763,13277,10629,9442,0.523421
VID_00000093,PERF_00000164,2025-12-05,CRE_131,15307,13352,10279,8676,7551,0.493304
VID_00000094,PERF_00000165,2025-12-06,CRE_039,2217,2095,1719,1529,1289,0.581416
VID_00000095,PERF_00000166,2025-12-06,CRE_039,2941,2592,2153,1952,1611,0.547773
VID_00000096,PERF_00000167,2025-12-06,CRE_039,2272,1746,1260,1071,940,0.413732
VID_00000097,PERF_00000168,2025-12-06,CRE_039,904,637,505,390,314,0.347345
VID_00000098,PERF_00000171,2025-12-06,CRE_049,3757,2787,2050,1651,1415,0.37663
VID_00000099,PERF_00000172,2025-12-06,CRE_042,5122,3738,2879,2349,1992,0.388911
VID_00000100,PERF_00000176,2025-12-06,CRE_043,6278,4009,3003,2211,1618,0.257725
VID_00000101,PERF_00000179,2025-12-06,CRE_042,4376,2819,2135,1669,1396,0.319013
VID_00000102,PERF_00000180,2025-12-06,CRE_043,8270,4688,3790,2635,1982,0.239661
VID_00000103,PERF_00000186,2025-12-06,CRE_070,1423,1197,1024,899,760,0.534083
VID_00000104,PERF_00000188,2025-12-06,CRE_068,6354,5844,4881,4189,3557,0.559805
VID_00000105,PERF_00000193,2025-12-06,CRE_068,4729,4269,3403,3164,2688,0.568408
VID_00000106,PERF_00000196,2025-12-06,CRE_125,10440,7228,4706,4199,3133,0.300096
VID_00000107,PERF_00000197,2025-12-06,CRE_129,7443,5079,4135,3027,2504,0.336423
VID_00000108,PERF_00000201,2025-12-06,CRE_125,8288,5255,3801,3435,2624,0.316602
VID_00000109,PERF_00000204,2025-12-07,CRE_039,3454,3281,2681,2367,2087,0.604227
VID_00000110,PERF_00000205,2025-12-07,CRE_039,2879,2439,1979,1672,1505,0.522751
VID_00000111,PERF_00000206,2025-12-07,CRE_039,2375,2223,2070,1764,1517,0.638737
VID_00000112,PERF_00000207,2025-12-07,CRE_039,2584,2179,1560,1410,1173,0.453947
VID_00000113,PERF_00000208,2025-12-07,CRE_039,3264,2489,2148,1663,1492,0.457108
VID_00000114,PERF_00000209,2025-12-07,CRE_039,2887,2263,1800,1485,1295,0.448563
VID_00000115,PERF_00000210,2025-12-07,CRE_039,1954,1838,1548,1185,1070,0.547595
VID_00000116,PERF_00000211,2025-12-07,CRE_039,788,580,470,374,297,0.376904
VID_00000117,PERF_00000212,2025-12-07,CRE_039,3316,2950,2276,1827,1632,0.492159
VID_00000118,PERF_00000213,2025-12-07,CRE_039,944,738,606,500,431,0.456568
VID_00000119,PERF_00000214,2025-12-07,CRE_045,8614,5100,4007,2898,2462,0.285814
VID_00000120,PERF_00000215,2025-12-07,CRE_049,7680,6275,4808,4291,3436,0.447396
VID_00000121,PERF_00000217,2025-12-07,CRE_045,5925,3420,2697,2021,1618,0.27308
VID_00000122,PERF_00000218,2025-12-07,CRE_045,8474,5110,4221,3145,2607,0.307647
VID_00000123,PERF_00000219,2025-12-07,CRE_043,3697,2135,1600,1294,1037,0.280498
VID_00000124,PERF_00000220,2025-12-07,CRE_045,1660,1034,776,505,389,0.234337
VID_00000125,PERF_00000222,2025-12-07,CRE_047,1705,1220,824,650,542,0.317889
VID_00000126,PERF_00000232,2025-12-07,CRE_067,6788,6079,4708,3986,3621,0.533441
VID_00000127,PERF_00000234,2025-12-07,CRE_067,6063,5328,4922,4068,3609,0.59525
VID_00000128,PERF_00000235,2025-12-07,CRE_126,5104,4224,3729,3241,2668,0.522727
VID_00000129,PERF_00000236,2025-12-07,CRE_126,7406,5994,5531,4529,3749,0.506211
VID_00000130,PERF_00000237,2025-12-07,CRE_128,12092,11373,9526,8224,7161,0.59221
VID_00000131,PERF_00000238,2025-12-07,CRE_125,15359,9097,7018,5557,4433,0.288626
VID_00000132,PERF_00000239,2025-12-07,CRE_125,7167,5242,3586,3286,2508,0.349937
VID_00000133,PERF_00000240,2025-12-07,CRE_125,14161,10699,8157,6246,5287,0.373349
VID_00000134,PERF_00000242,2025-12-08,CRE_039,2622,2107,1824,1438,1210,0.46148
VID_00000135,PERF_00000244,2025-12-08,CRE_039,3111,2523,2346,1939,1590,0.51109
VID_00000136,PERF_00000245,2025-12-08,CRE_039,2757,2539,2132,1864,1595,0.578527
VID_00000137,PERF_00000247,2025-12-08,CRE_039,2575,2404,1971,1708,1481,0.575146
VID_00000138,PERF_00000248,2025-12-08,CRE_039,2892,2213,1733,1294,1146,0.396266
VID_00000139,PERF_00000249,2025-12-08,CRE_039,1897,1656,1537,1301,1079,0.568793
VID_00000140,PERF_00000251,2025-12-08,CRE_039,3536,3191,2901,2383,2029,0.573812
VID_00000141,PERF_00000253,2025-12-08,CRE_043,7009,4308,3046,2265,1820,0.259666
VID_00000142,PERF_00000255,2025-12-08,CRE_045,3767,1923,1623,1181,762,0.202283
VID_00000143,PERF_00000257,2025-12-08,CRE_045,2547,1369,995,705,543,0.213192
VID_00000144,PERF_00000258,2025-12-08,CRE_070,1588,1305,1083,988,817,0.514484
VID_00000145,PERF_00000259,2025-12-08,CRE_067,4845,4602,3592,3422,2883,0.595046
VID_00000146,PERF_00000265,2025-12-09,CRE_039,914,868,776,667,592,0.647702
VID_00000147,PERF_00000266,2025-12-09,CRE_039,994,864,718,594,512,0.515091
VID_00000148,PERF_00000268,2025-12-09,CRE_039,3400,2811,2313,1882,1640,0.482353
VID_00000149,PERF_00000270,2025-12-09,CRE_039,564,410,365,302,240,0.425532
VID_00000150,PERF_00000271,2025-12-09,CRE_039,1379,1027,841,663,565,0.409717
VID_00000151,PERF_00000272,2025-12-09,CRE_039,3384,2553,2344,1787,1563,0.461879
VID_00000152,PERF_00000273,2025-12-09,CRE_039,665,509,390,355,294,0.442105
VID_00000153,PERF_00000274,2025-12-09,CRE_039,3422,3009,2671,2063,1871,0.546756
VID_00000154,PERF_00000275,2025-12-09,CRE_039,2065,1961,1608,1491,1279,0.61937
VID_00000155,PERF_00000276,2025-12-09,CRE_039,3389,3195,2678,2274,1960,0.578342
VID_00000156,PERF_00000277,2025-12-09,CRE_039,1625,1219,1047,753,644,0.396308
VID_00000157,PERF_00000278,2025-12-09,CRE_042,2749,1944,1423,1223,953,0.346672
VID_00000158,PERF_00000279,2025-12-09,CRE_043,7114,4368,3896,2862,2186,0.307281
VID_00000159,PERF_00000281,2025-12-09,CRE_049,6696,5885,4588,4226,3583,0.535096
VID_00000160,PERF_00000286,2025-12-09,CRE_072,3435,2838,2604,2045,1766,0.514119
VID_00000161,PERF_00000287,2025-12-09,CRE_072,6693,5073,4145,3929,3193,0.477066
VID_00000162,PERF_00000290,2025-12-09,CRE_067,5450,4130,3491,2706,2367,0.434312
VID_00000163,PERF_00000291,2025-12-09,CRE_070,5504,4631,3871,3042,2596,0.471657
VID_00000164,PERF_00000292,2025-12-09,CRE_068,1381,977,767,641,567,0.410572
VID_00000165,PERF_00000294,2025-12-09,CRE_068,4478,3338,2968,2376,1942,0.433676
VID_00000166,PERF_00000295,2025-12-09,CRE_088,13721,11235,9466,7594,6484,0.47256
VID_00000167,PERF_00000296,2025-12-09,CRE_089,14046,10128,7373,5793,4562,0.32479
VID_00000168,PERF_00000297,2025-12-09,CRE_085,12015,7281,5439,4130,2863,0.238285
VID_00000169,PERF_00000298,2025-12-09,CRE_085,12221,7227,5241,4259,3195,0.261435
VID_00000170,PERF_00000299,2025-12-09,CRE_077,15739,14808,11968,10849,9691,0.615732
VID_00000171,PERF_00000300,2025-12-09,CRE_128,18490,13823,12073,10286,8476,0.45841
VID_00000172,PERF_00000302,2025-12-09,CRE_128,10479,9798,7937,6809,5663,0.540414
VID_00000173,PERF_00000304,2025-12-09,CRE_126,21016,15579,11516,10029,7652,0.364104
VID_00000174,PERF_00000305,2025-12-09,CRE_131,7426,6411,5922,5089,4287,0.577296
VID_00000175,PERF_00000308,2025-12-09,CRE_174,3201,2833,2170,1903,1626,0.507966
VID_00000176,PERF_00000309,2025-12-09,CRE_174,3908,3650,2893,2527,2259,0.578045
VID_00000177,PERF_00000310,2025-12-09,CRE_179,2285,1776,1549,1296,1055,0.461707
VID_00000178,PERF_00000311,2025-12-09,CRE_172,2340,1654,1333,1181,961,0.410684
VID_00000179,PERF_00000312,2025-12-09,CRE_179,3015,2253,2005,1473,1292,0.428524
VID_00000180,PERF_00000314,2025-12-10,CRE_042,7065,4982,3681,3073,2353,0.33305
VID_00000181,PERF_00000315,2025-12-10,CRE_045,8162,4419,3375,2443,2033,0.249081
VID_00000182,PERF_00000318,2025-12-10,CRE_049,5771,3904,3492,2634,2150,0.372552
VID_00000183,PERF_00000322,2025-12-10,CRE_046,3913,2776,2213,1682,1366,0.349093
VID_00000184,PERF_00000323,2025-12-10,CRE_047,6206,4207,2842,2216,1810,0.291653
VID_00000185,PERF_00000324,2025-12-10,CRE_042,6317,4453,3411,2635,2080,0.32927
VID_00000186,PERF_00000325,2025-12-10,CRE_049,7786,5373,4385,3598,3188,0.409453
VID_00000187,PERF_00000326,2025-12-10,CRE_042,5746,4099,2821,2304,1851,0.322137
VID_00000188,PERF_00000327,2025-12-10,CRE_067,4172,3203,2729,2301,1816,0.435283
VID_00000189,PERF_00000328,2025-12-10,CRE_068,6125,5455,4263,3760,3304,0.539429
VID_00000190,PERF_00000329,2025-12-10,CRE_067,5638,5066,3894,3440,2898,0.514012
VID_00000191,PERF_00000330,2025-12-10,CRE_070,1892,1590,1362,1102,936,0.494715
VID_00000192,PERF_00000335,2025-12-10,CRE_066,2264,2050,1726,1465,1280,0.565371
VID_00000193,PERF_00000336,2025-12-10,CRE_068,6798,5504,4602,3779,3318,0.488085
VID_00000194,PERF_00000337,2025-12-10,CRE_067,3073,2518,2348,1874,1607,0.522942
VID_00000195,PERF_00000340,2025-12-10,CRE_084,16134,13243,10192,8753,7885,0.488719
VID_00000196,PERF_00000341,2025-12-10,CRE_090,13312,10084,8524,6191,5305,0.398513
VID_00000197,PERF_00000342,2025-12-10,CRE_088,7182,5970,4561,3960,3420,0.47619
VID_00000198,PERF_00000343,2025-12-10,CRE_088,13849,10033,8789,7216,5595,0.404
VID_00000199,PERF_00000344,2025-12-10,CRE_077,17767,14876,12017,10697,9520,0.535825
VID_00000200,PERF_00000345,2025-12-10,CRE_085,19939,13272,11273,8269,6475,0.32474
VID_00000201,PERF_00000346,2025-12-10,CRE_077,20972,18298,16735,13961,11641,0.555073
VID_00000202,PERF_00000347,2025-12-10,CRE_125,5242,3524,2875,2371,2012,0.383823
VID_00000203,PERF_00000348,2025-12-10,CRE_132,12700,10748,8805,7150,5789,0.455827
VID_00000204,PERF_00000350,2025-12-10,CRE_125,17747,11626,10603,7624,6654,0.374937
VID_00000205,PERF_00000351,2025-12-10,CRE_132,14892,12008,11093,9165,7672,0.515176
VID_00000206,PERF_00000352,2025-12-10,CRE_129,11044,6342,4995,2979,2339,0.211789
VID_00000207,PERF_00000353,2025-12-10,CRE_129,22773,17831,12444,11023,8961,0.393492
VID_00000208,PERF_00000355,2025-12-10,CRE_132,22481,19414,15596,14021,11610,0.516436
VID_00000209,PERF_00000359,2025-12-10,CRE_129,11361,7745,5209,4169,3340,0.293988
VID_00000210,PERF_00000362,2025-12-10,CRE_171,1342,947,698,506,419,0.312221
VID_00000211,PERF_00000363,2025-12-10,CRE_174,660,544,454,416,350,0.530303
VID_00000212,PERF_00000364,2025-12-10,CRE_199,7324,5867,5121,4156,3309,0.451802
VID_00000213,PERF_00000366,2025-12-11,CRE_039,3636,3201,2619,2135,1840,0.506051
VID_00000214,PERF_00000367,2025-12-11,CRE_039,2518,2119,1707,1503,1278,0.507546
VID_00000215,PERF_00000368,2025-12-11,CRE_039,3002,2602,1985,1637,1431,0.476682
VID_00000216,PERF_00000369,2025-12-11,CRE_039,3567,3388,2896,2447,2187,0.61312
VID_00000217,PERF_00000370,2025-12-11,CRE_039,1548,1393,1289,1069,922,0.595607
VID_00000218,PERF_00000371,2025-12-11,CRE_039,1968,1864,1546,1349,1125,0.571646
VID_00000219,PERF_00000372,2025-12-11,CRE_039,2071,1893,1461,1314,1161,0.560599
VID_00000220,PERF_00000373,2025-12-11,CRE_039,1443,1135,1038,847,678,0.469854
VID_00000221,PERF_00000374,2025-12-11,CRE_039,1846,1525,1263,1004,901,0.488082
VID_00000222,PERF_00000377,2025-12-11,CRE_042,3514,2579,2151,1757,1478,0.420603
VID_00000223,PERF_00000383,2025-12-11,CRE_047,5215,4766,3927,3437,2848,0.546117
VID_00000224,PERF_00000384,2025-12-11,CRE_042,1397,827,621,541,413,0.295634
VID_00000225,PERF_00000386,2025-12-11,CRE_070,2379,2198,1836,1561,1421,0.59731
VID_00000226,PERF_00000387,2025-12-11,CRE_067,6905,5116,3747,3333,2693,0.390007
VID_00000227,PERF_00000388,2025-12-11,CRE_068,3564,3175,2464,2235,1848,0.518519
VID_00000228,PERF_00000390,2025-12-11,CRE_089,21363,13186,11801,8220,7067,0.330806
VID_00000229,PERF_00000391,2025-12-11,CRE_085,20822,15022,10003,8491,6825,0.327778
VID_00000230,PERF_00000392,2025-12-11,CRE_077,22140,19767,16939,15511,13436,0.606865
VID_00000231,PERF_00000393,2025-12-11,CRE_088,11389,8564,6678,5467,4765,0.418386
VID_00000232,PERF_00000394,2025-12-11,CRE_088,3869,2994,2245,2115,1693,0.437581
VID_00000233,PERF_00000395,2025-12-11,CRE_085,14927,9346,6491,4579,3492,0.233939
VID_00000234,PERF_00000396,2025-12-11,CRE_126,15263,12144,10794,8815,7535,0.493678
VID_00000235,PERF_00000402,2025-12-11,CRE_131,22570,17682,15353,12005,10706,0.474346
VID_00000236,PERF_00000403,2025-12-11,CRE_128,12628,11996,10357,8125,7221,0.571825
VID_00000237,PERF_00000404,2025-12-11,CRE_131,8196,6627,5598,4518,3636,0.443631
VID_00000238,PERF_00000405,2025-12-11,CRE_126,11110,8440,6560,5784,4506,0.405581
VID_00000239,PERF_00000407,2025-12-11,CRE_129,13506,8272,6222,5053,3495,0.258774
VID_00000240,PERF_00000409,2025-12-11,CRE_179,685,650,534,469,431,0.629197
VID_00000241,PERF_00000410,2025-12-11,CRE_171,3301,2226,1880,1498,1153,0.349288
VID_00000242,PERF_00000411,2025-12-11,CRE_172,3142,2712,2305,2047,1675,0.5331
VID_00000243,PERF_00000412,2025-12-11,CRE_171,2402,1661,1118,911,750,0.31224
VID_00000244,PERF_00000413,2025-12-11,CRE_179,1896,1517,1046,993,770,0.406118
VID_00000245,PERF_00000414,2025-12-12,CRE_039,3321,2783,2447,2013,1689,0.508582
VID_00000246,PERF_00000415,2025-12-12,CRE_039,2873,2423,2071,1802,1512,0.526279
VID_00000247,PERF_00000417,2025-12-12,CRE_045,2855,1891,1580,1140,901,0.315587
VID_00000248,PERF_00000419,2025-12-12,CRE_042,7833,5165,3478,2862,2138,0.272948
VID_00000249,PERF_00000420,2025-12-12,CRE_072,4099,3196,2874,2388,1908,0.465479
VID_00000250,PERF_00000423,2025-12-12,CRE_070,5118,4141,3530,2944,2642,0.516217
VID_00000251,PERF_00000426,2025-12-12,CRE_072,5466,3869,3256,2669,2102,0.384559
VID_00000252,PERF_00000427,2025-12-12,CRE_090,20135,12723,10212,8479,6941,0.344723
VID_00000253,PERF_00000428,2025-12-12,CRE_088,5517,4121,3315,2596,2032,0.368316
VID_00000254,PERF_00000429,2025-12-12,CRE_088,8047,5923,4930,4334,3433,0.426619
VID_00000255,PERF_00000430,2025-12-12,CRE_085,19437,11546,9776,8030,5886,0.302825
VID_00000256,PERF_00000431,2025-12-12,CRE_085,18479,9992,8832,5625,4639,0.251042
VID_00000257,PERF_00000432,2025-12-12,CRE_088,20021,16172,13014,11878,9601,0.479546
VID_00000258,PERF_00000433,2025-12-12,CRE_090,12665,8147,6537,5189,4459,0.352073
VID_00000259,PERF_00000434,2025-12-12,CRE_087,21476,14053,12113,8985,7458,0.347271
VID_00000260,PERF_00000435,2025-12-12,CRE_087,11237,6809,5087,3894,2804,0.249533
VID_00000261,PERF_00000436,2025-12-12,CRE_084,12984,10856,8799,7641,6949,0.535197
VID_00000262,PERF_00000438,2025-12-12,CRE_132,8026,6513,5638,4696,4111,0.51221
VID_00000263,PERF_00000439,2025-12-12,CRE_129,17096,10279,9073,6618,5213,0.304925
VID_00000264,PERF_00000441,2025-12-12,CRE_132,18164,15724,12652,10680,8509,0.468454
VID_00000265,PERF_00000442,2025-12-12,CRE_132,7568,6469,4558,4316,3490,0.461152
VID_00000266,PERF_00000443,2025-12-12,CRE_131,13076,11680,9388,8074,7187,0.549633
VID_00000267,PERF_00000444,2025-12-12,CRE_132,10854,9144,6838,6156,5016,0.462134
VID_00000268,PERF_00000448,2025-12-12,CRE_131,21443,16780,14066,11758,9433,0.43991
VID_00000269,PERF_00000449,2025-12-12,CRE_132,20184,14691,12979,10636,8704,0.431233
VID_00000270,PERF_00000450,2025-12-12,CRE_171,1045,651,574,476,351,0.335885
VID_00000271,PERF_00000451,2025-12-12,CRE_172,1993,1619,1381,1063,935,0.469142
VID_00000272,PERF_00000454,2025-12-12,CRE_193,18312,16521,12488,10895,9508,0.519222
VID_00000273,PERF_00000456,2025-12-12,CRE_193,4550,4322,3719,3165,2696,0.592527
VID_00000274,PERF_00000465,2025-12-12,CRE_256,15762,12073,9605,7670,6495,0.412067
VID_00000275,PERF_00000466,2025-12-12,CRE_256,21506,17201,15074,12929,10935,0.508463
VID_00000276,PERF_00000469,2025-12-13,CRE_039,1446,1373,1127,1051,881,0.609267
VID_00000277,PERF_00000470,2025-12-13,CRE_039,665,553,523,424,365,0.548872
VID_00000278,PERF_00000471,2025-12-13,CRE_039,669,530,420,393,313,0.467862
VID_00000279,PERF_00000472,2025-12-13,CRE_039,3620,3147,2220,1943,1712,0.472928
VID_00000280,PERF_00000473,2025-12-13,CRE_039,2237,1747,1567,1345,1102,0.492624
VID_00000281,PERF_00000474,2025-12-13,CRE_039,3990,3445,2717,2450,2061,0.516541
VID_00000282,PERF_00000475,2025-12-13,CRE_039,1733,1507,1314,1047,937,0.540681
VID_00000283,PERF_00000476,2025-12-13,CRE_039,3530,3136,2555,2162,1966,0.556941
VID_00000284,PERF_00000477,2025-12-13,CRE_039,932,680,597,462,389,0.417382
VID_00000285,PERF_00000478,2025-12-13,CRE_039,2262,1780,1505,1381,1136,0.50221
VID_00000286,PERF_00000479,2025-12-13,CRE_039,1606,1193,1007,867,676,0.420922
VID_00000287,PERF_00000480,2025-12-13,CRE_039,1504,1428,1067,986,855,0.568484
VID_00000288,PERF_00000484,2025-12-13,CRE_066,1559,1397,1073,895,778,0.499038
VID_00000289,PERF_00000490,2025-12-13,CRE_089,27142,19080,15397,14220,11099,0.408923
VID_00000290,PERF_00000491,2025-12-13,CRE_088,11659,8833,7485,5901,5269,0.451926
VID_00000291,PERF_00000492,2025-12-13,CRE_087,24403,15429,13491,10142,8037,0.329345
VID_00000292,PERF_00000495,2025-12-13,CRE_126,8260,6219,4778,4049,3596,0.435351
VID_00000293,PERF_00000496,2025-12-13,CRE_129,13071,10076,7262,6001,5024,0.384362
