billing_id,date,advertiser_id,campaign_id,market_id,billable_impressions,billable_clicks,gross_revenue_usd,discount_usd,net_revenue_usd,billing_status
BIL_00000018,2025-12-02,ADV_007,CMP_023,MKT_MY,3340,20,8.4795,0.0,6.2849,Finalized
BIL_00000019,2025-12-02,ADV_007,CMP_023,MKT_SA,7838,61,14.0627,0.2813,10.4385,Finalized
BIL_00000020,2025-12-02,ADV_012,CMP_040,MKT_AE,16495,192,32.4579,0.0,23.4216,Finalized
BIL_00000021,2025-12-02,ADV_012,CMP_040,MKT_ID,104525,1008,228.7783,0.0,173.6771,Finalized
BIL_00000022,2025-12-02,ADV_012,CMP_040,MKT_MY,31010,95,36.5068,0.7301,26.0254,Finalized
BIL_00000023,2025-12-02,ADV_012,CMP_040,MKT_SA,23623,259,79.2222,0.0,63.4882,Finalized
BIL_00000024,2025-12-02,ADV_012,CMP_040,MKT_SG,23027,214,34.6595,0.0,26.8471,Finalized
BIL_00000025,2025-12-02,ADV_012,CMP_040,MKT_TH,56762,462,113.0145,5.6507,81.4635,Finalized
BIL_00000026,2025-12-03,ADV_004,CMP_012,MKT_AE,2443,28,5.2204,0.0,4.1104,Finalized
BIL_00000027,2025-12-03,ADV_004,CMP_012,MKT_ID,6931,97,22.1894,0.4438,16.0856,Finalized
BIL_00000028,2025-12-03,ADV_004,CMP_012,MKT_MY,4206,33,10.0697,0.0,7.7374,Finalized
BIL_00000029,2025-12-03,ADV_004,CMP_012,MKT_TH,682,5,1.8177,0.0,1.3447,Finalized
BIL_00000030,2025-12-03,ADV_005,CMP_014,MKT_AE,7520,36,7.3377,0.1468,5.8447,Finalized
BIL_00000031,2025-12-03,ADV_005,CMP_014,MKT_ID,51074,727,171.451,3.429,128.1459,Finalized
BIL_00000032,2025-12-03,ADV_005,CMP_014,MKT_SA,11214,113,36.525,1.8262,28.0498,Finalized
BIL_00000033,2025-12-03,ADV_005,CMP_014,MKT_TH,7970,53,13.3915,0.0,10.1411,Finalized
BIL_00000034,2025-12-03,ADV_007,CMP_023,MKT_AE,15124,189,34.2439,0.6849,25.5892,Finalized
BIL_00000035,2025-12-03,ADV_007,CMP_023,MKT_ID,14413,162,34.5761,0.0,27.5282,Finalized
BIL_00000036,2025-12-03,ADV_007,CMP_023,MKT_SG,7983,83,28.0334,0.0,20.6683,Finalized
BIL_00000037,2025-12-03,ADV_007,CMP_023,MKT_TH,10412,76,20.4891,0.4098,14.5464,Finalized
BIL_00000038,2025-12-03,ADV_012,CMP_040,MKT_AE,21301,218,69.2936,1.3859,51.0238,Finalized
BIL_00000039,2025-12-03,ADV_012,CMP_040,MKT_ID,28582,518,108.6979,2.174,84.2929,Finalized
BIL_00000040,2025-12-03,ADV_012,CMP_040,MKT_MY,46457,348,101.7115,0.0,76.7153,Finalized
BIL_00000041,2025-12-03,ADV_012,CMP_040,MKT_SA,12391,92,32.3362,0.0,23.2239,Finalized
BIL_00000042,2025-12-03,ADV_012,CMP_040,MKT_TH,18693,306,53.6538,2.6827,39.9822,Finalized
BIL_00000043,2025-12-04,ADV_004,CMP_012,MKT_AE,4875,34,12.224,0.0,9.7302,Finalized
BIL_00000044,2025-12-04,ADV_004,CMP_012,MKT_ID,4781,51,9.8909,0.0,7.0688,Finalized
BIL_00000045,2025-12-04,ADV_004,CMP_012,MKT_MY,3145,35,7.0281,0.3514,5.4384,Finalized
BIL_00000046,2025-12-04,ADV_004,CMP_012,MKT_SA,746,8,2.6295,0.0,1.9635,Finalized
BIL_00000047,2025-12-04,ADV_004,CMP_012,MKT_SG,3548,38,11.7245,0.0,8.5788,Finalized
BIL_00000048,2025-12-04,ADV_004,CMP_012,MKT_TH,2931,29,6.5568,0.1311,5.3734,Finalized
BIL_00000049,2025-12-04,ADV_005,CMP_014,MKT_ID,7386,87,13.0893,0.0,10.4611,Finalized
BIL_00000050,2025-12-04,ADV_005,CMP_014,MKT_MY,6720,44,15.8391,0.3168,11.8923,Finalized
BIL_00000051,2025-12-04,ADV_005,CMP_014,MKT_SA,10568,96,21.7115,1.7369,15.7132,Finalized
BIL_00000052,2025-12-04,ADV_005,CMP_014,MKT_SG,6403,59,23.4576,1.8766,16.0064,Finalized
BIL_00000053,2025-12-04,ADV_005,CMP_014,MKT_TH,3508,55,4.6934,0.0,3.4633,Finalized
BIL_00000054,2025-12-04,ADV_007,CMP_023,MKT_AE,7330,24,8.278,0.4139,5.9328,Finalized
BIL_00000055,2025-12-04,ADV_007,CMP_023,MKT_ID,17383,198,39.6489,0.0,29.1135,Finalized
BIL_00000056,2025-12-04,ADV_007,CMP_023,MKT_MY,14411,130,38.7266,1.9363,28.833,Finalized
BIL_00000057,2025-12-04,ADV_007,CMP_023,MKT_SA,4784,37,12.2911,0.0,8.8543,Finalized
BIL_00000058,2025-12-04,ADV_012,CMP_040,MKT_AE,46762,547,154.0856,3.0817,118.1491,Finalized
BIL_00000059,2025-12-04,ADV_012,CMP_040,MKT_ID,31754,252,57.0675,0.0,42.8492,Finalized
BIL_00000060,2025-12-04,ADV_012,CMP_040,MKT_MY,10402,75,32.6107,0.0,26.199,Finalized
BIL_00000061,2025-12-04,ADV_012,CMP_040,MKT_SA,13057,170,50.9253,0.0,39.1548,Finalized
BIL_00000062,2025-12-04,ADV_012,CMP_040,MKT_TH,24727,253,47.9217,0.0,36.8938,Finalized
BIL_00000063,2025-12-05,ADV_004,CMP_012,MKT_AE,9640,78,19.9012,0.0,14.4655,Finalized
BIL_00000064,2025-12-05,ADV_004,CMP_012,MKT_ID,3940,58,13.0275,1.0422,9.1163,Finalized
BIL_00000065,2025-12-05,ADV_004,CMP_012,MKT_SA,5431,99,16.9953,0.8498,12.8058,Finalized
BIL_00000066,2025-12-05,ADV_004,CMP_012,MKT_TH,7268,36,16.9746,0.0,13.1908,Finalized
BIL_00000067,2025-12-05,ADV_005,CMP_014,MKT_ID,34176,340,93.3856,0.0,71.9703,Finalized
BIL_00000068,2025-12-05,ADV_005,CMP_014,MKT_MY,2091,34,8.1883,0.0,5.6037,Finalized
BIL_00000069,2025-12-05,ADV_005,CMP_014,MKT_SA,18503,289,65.5523,0.0,48.8438,Finalized
BIL_00000070,2025-12-05,ADV_005,CMP_014,MKT_SG,6197,30,12.5815,0.0,9.0091,Finalized
BIL_00000071,2025-12-05,ADV_005,CMP_014,MKT_TH,12153,119,16.4759,0.0,12.4824,Finalized
BIL_00000072,2025-12-05,ADV_007,CMP_023,MKT_AE,15474,226,40.0128,0.0,31.0317,Finalized
BIL_00000073,2025-12-05,ADV_007,CMP_023,MKT_ID,17787,179,31.2875,2.503,22.9172,Finalized
BIL_00000074,2025-12-05,ADV_007,CMP_023,MKT_SG,7752,128,16.619,0.0,12.6892,Finalized
BIL_00000075,2025-12-05,ADV_007,CMP_023,MKT_TH,3248,24,8.0388,0.0,6.1144,Finalized
BIL_00000076,2025-12-05,ADV_012,CMP_040,MKT_AE,47804,560,87.6378,1.7528,62.8923,Finalized
BIL_00000077,2025-12-05,ADV_012,CMP_040,MKT_ID,68665,935,236.5424,4.7308,180.4994,Finalized
BIL_00000078,2025-12-05,ADV_012,CMP_040,MKT_MY,34242,446,95.825,0.0,69.1461,Finalized
BIL_00000079,2025-12-05,ADV_012,CMP_040,MKT_SG,22695,268,70.6262,1.4125,52.9198,Finalized
BIL_00000080,2025-12-05,ADV_012,CMP_040,MKT_TH,26991,121,29.5194,0.0,23.3449,Finalized
BIL_00000081,2025-12-06,ADV_004,CMP_012,MKT_AE,1125,17,3.3001,0.0,2.6451,Finalized
BIL_00000082,2025-12-06,ADV_004,CMP_012,MKT_ID,6914,75,14.0142,0.0,10.9708,Finalized
BIL_00000083,2025-12-06,ADV_004,CMP_012,MKT_MY,3831,60,12.8824,0.0,9.9758,Finalized
BIL_00000084,2025-12-06,ADV_005,CMP_014,MKT_AE,3685,64,11.6155,0.0,8.5004,Finalized
BIL_00000085,2025-12-06,ADV_005,CMP_014,MKT_ID,32511,407,94.0815,0.0,68.4591,Finalized
BIL_00000086,2025-12-06,ADV_005,CMP_014,MKT_MY,13929,135,32.3362,0.0,23.344,Finalized
BIL_00000087,2025-12-06,ADV_005,CMP_014,MKT_SA,24971,180,51.9303,1.0386,38.7655,Finalized
BIL_00000088,2025-12-06,ADV_005,CMP_014,MKT_SG,10782,145,16.3235,0.0,11.388,Finalized
BIL_00000089,2025-12-06,ADV_007,CMP_023,MKT_AE,3414,51,11.813,0.2363,8.0893,Finalized
BIL_00000090,2025-12-06,ADV_007,CMP_023,MKT_ID,11359,178,34.514,0.6903,27.0642,Finalized
BIL_00000091,2025-12-06,ADV_007,CMP_023,MKT_MY,22425,195,37.2935,0.0,29.3809,Finalized
BIL_00000092,2025-12-06,ADV_007,CMP_023,MKT_SA,11886,102,33.9319,0.0,24.5963,Finalized
BIL_00000093,2025-12-06,ADV_007,CMP_023,MKT_SG,2516,20,4.4217,0.0,3.0522,Finalized
BIL_00000094,2025-12-06,ADV_007,CMP_023,MKT_TH,19178,218,64.416,0.0,48.4096,Finalized
BIL_00000095,2025-12-06,ADV_012,CMP_040,MKT_AE,36235,325,62.0811,0.0,47.7488,Finalized
BIL_00000096,2025-12-06,ADV_012,CMP_040,MKT_ID,11495,279,36.8712,0.0,28.2185,Finalized
BIL_00000097,2025-12-06,ADV_012,CMP_040,MKT_MY,20435,174,43.2345,0.0,31.4029,Finalized
BIL_00000098,2025-12-06,ADV_012,CMP_040,MKT_SG,15650,129,32.6946,0.6539,26.0082,Finalized
BIL_00000099,2025-12-06,ADV_012,CMP_040,MKT_TH,33520,336,89.0722,1.7814,63.6049,Finalized
BIL_00000100,2025-12-07,ADV_004,CMP_012,MKT_ID,15027,171,33.565,0.0,24.775,Finalized
BIL_00000101,2025-12-07,ADV_004,CMP_012,MKT_MY,4741,55,11.3286,0.0,8.5455,Finalized
BIL_00000102,2025-12-07,ADV_004,CMP_012,MKT_SG,2588,14,4.452,0.0,3.2846,Finalized
BIL_00000103,2025-12-07,ADV_004,CMP_012,MKT_TH,7673,83,24.2546,0.0,17.8204,Finalized
BIL_00000104,2025-12-07,ADV_005,CMP_014,MKT_AE,16870,132,36.9328,0.0,27.667,Finalized
BIL_00000105,2025-12-07,ADV_005,CMP_014,MKT_ID,4433,30,17.5269,0.0,12.3736,Finalized
BIL_00000106,2025-12-07,ADV_005,CMP_014,MKT_MY,10307,77,16.4856,0.3297,11.2794,Finalized
BIL_00000107,2025-12-07,ADV_005,CMP_014,MKT_SA,5231,71,14.7954,0.0,10.5511,Finalized
BIL_00000108,2025-12-07,ADV_005,CMP_014,MKT_SG,17862,185,51.0185,0.0,36.0523,Finalized
BIL_00000109,2025-12-07,ADV_005,CMP_014,MKT_TH,2624,15,3.7123,0.0,2.9543,Finalized
BIL_00000110,2025-12-07,ADV_007,CMP_023,MKT_AE,8384,149,20.3113,0.4062,14.1988,Finalized
BIL_00000111,2025-12-07,ADV_007,CMP_023,MKT_ID,39191,474,105.0718,2.1014,76.1192,Finalized
BIL_00000112,2025-12-07,ADV_007,CMP_023,MKT_SA,12999,118,28.914,0.0,22.8623,Finalized
BIL_00000113,2025-12-07,ADV_007,CMP_023,MKT_SG,10666,134,27.1444,0.0,20.5681,Finalized
BIL_00000114,2025-12-07,ADV_012,CMP_040,MKT_ID,44907,507,119.3791,0.0,86.0893,Finalized
BIL_00000115,2025-12-07,ADV_012,CMP_040,MKT_MY,9681,171,35.2991,0.706,27.9758,Finalized
BIL_00000116,2025-12-07,ADV_012,CMP_040,MKT_SA,15775,117,21.2947,0.0,15.955,Finalized
BIL_00000117,2025-12-08,ADV_004,CMP_012,MKT_AE,7593,90,18.6236,0.3725,13.3335,Finalized
BIL_00000118,2025-12-08,ADV_004,CMP_012,MKT_ID,10734,169,29.7788,0.0,22.809,Finalized
BIL_00000119,2025-12-08,ADV_004,CMP_012,MKT_MY,6208,45,12.7993,0.256,9.4076,Finalized
BIL_00000120,2025-12-08,ADV_004,CMP_012,MKT_SG,6834,114,18.764,0.0,13.9438,Finalized
BIL_00000121,2025-12-08,ADV_004,CMP_012,MKT_TH,3820,77,13.4104,0.0,10.0738,Finalized
BIL_00000122,2025-12-08,ADV_005,CMP_014,MKT_ID,10555,104,20.2833,1.6227,14.5645,Finalized
BIL_00000123,2025-12-08,ADV_005,CMP_014,MKT_SA,13084,71,30.7993,1.54,23.2795,Finalized
BIL_00000124,2025-12-08,ADV_005,CMP_014,MKT_SG,6293,92,16.4303,0.0,12.4866,Finalized
BIL_00000125,2025-12-08,ADV_005,CMP_014,MKT_TH,2411,43,6.3307,0.0,4.5679,Finalized
BIL_00000126,2025-12-08,ADV_007,CMP_023,MKT_ID,6181,47,9.892,0.0,7.7791,Finalized
BIL_00000127,2025-12-08,ADV_007,CMP_023,MKT_TH,1856,30,4.2188,0.0,3.442,Finalized
BIL_00000128,2025-12-08,ADV_012,CMP_040,MKT_ID,103169,1168,225.0969,0.0,173.2316,Finalized
BIL_00000129,2025-12-08,ADV_012,CMP_040,MKT_SA,21138,89,22.9246,0.0,15.8964,Finalized
BIL_00000130,2025-12-09,ADV_004,CMP_012,MKT_AE,5665,58,13.653,0.0,10.3848,Finalized
BIL_00000131,2025-12-09,ADV_004,CMP_012,MKT_ID,13537,155,34.3705,0.6874,26.3012,Finalized
BIL_00000132,2025-12-09,ADV_004,CMP_012,MKT_SA,8119,78,12.4309,0.0,9.9262,Finalized
BIL_00000133,2025-12-09,ADV_004,CMP_012,MKT_SG,4180,36,9.5217,0.0,6.831,Finalized
BIL_00000134,2025-12-09,ADV_005,CMP_014,MKT_ID,20591,214,45.3849,0.0,33.7775,Finalized
BIL_00000135,2025-12-09,ADV_005,CMP_014,MKT_MY,18748,290,45.0442,0.0,35.4348,Finalized
BIL_00000136,2025-12-09,ADV_005,CMP_014,MKT_SA,8618,132,30.0608,0.0,23.0993,Finalized
BIL_00000137,2025-12-09,ADV_005,CMP_014,MKT_SG,9857,138,18.3656,0.0,14.1689,Finalized
BIL_00000138,2025-12-09,ADV_007,CMP_023,MKT_AE,9177,88,19.2036,0.3841,14.897,Finalized
BIL_00000139,2025-12-09,ADV_007,CMP_023,MKT_ID,24870,151,56.1678,4.4934,40.3237,Finalized
BIL_00000140,2025-12-09,ADV_007,CMP_023,MKT_MY,3844,12,4.0035,0.0,2.9833,Finalized
BIL_00000141,2025-12-09,ADV_007,CMP_023,MKT_SA,4769,51,7.2298,0.5784,5.748,Finalized
BIL_00000142,2025-12-09,ADV_007,CMP_023,MKT_TH,6008,97,20.8394,0.0,15.1171,Finalized
BIL_00000143,2025-12-09,ADV_008,CMP_024,MKT_ID,69775,821,177.7034,8.8852,134.2371,Finalized
BIL_00000144,2025-12-09,ADV_008,CMP_024,MKT_SA,17677,287,60.6069,0.0,48.3416,Finalized
BIL_00000145,2025-12-09,ADV_012,CMP_040,MKT_AE,30395,349,70.5215,0.0,51.6555,Finalized
BIL_00000146,2025-12-09,ADV_012,CMP_040,MKT_ID,45983,401,97.1053,1.9421,73.6645,Finalized
BIL_00000147,2025-12-09,ADV_012,CMP_040,MKT_SA,25736,327,107.9801,2.1596,81.3479,Finalized
BIL_00000148,2025-12-09,ADV_012,CMP_040,MKT_SG,27257,488,93.7234,0.0,65.3598,Finalized
BIL_00000149,2025-12-09,ADV_016,CMP_052,MKT_AE,6038,35,10.1876,0.0,8.114,Finalized
BIL_00000150,2025-12-09,ADV_016,CMP_052,MKT_ID,12459,145,36.379,0.0,26.2038,Finalized
BIL_00000151,2025-12-09,ADV_016,CMP_052,MKT_MY,2821,57,9.0855,0.1817,7.0203,Finalized
BIL_00000152,2025-12-09,ADV_016,CMP_052,MKT_SG,3362,26,9.0394,0.1808,6.3498,Finalized
BIL_00000153,2025-12-10,ADV_005,CMP_014,MKT_AE,20800,236,39.2236,1.9612,29.4961,Finalized
BIL_00000154,2025-12-10,ADV_005,CMP_014,MKT_ID,14680,110,25.135,0.0,19.1036,Finalized
BIL_00000155,2025-12-10,ADV_005,CMP_014,MKT_MY,13395,148,34.5202,0.0,24.764,Finalized
BIL_00000156,2025-12-10,ADV_005,CMP_014,MKT_SA,8660,105,18.9573,0.0,12.8417,Finalized
BIL_00000157,2025-12-10,ADV_005,CMP_014,MKT_SG,2641,20,6.6339,0.0,5.2426,Finalized
BIL_00000158,2025-12-10,ADV_005,CMP_014,MKT_TH,34445,316,70.971,3.5486,52.8049,Finalized
BIL_00000159,2025-12-10,ADV_007,CMP_023,MKT_AE,8959,53,13.084,0.0,9.687,Finalized
BIL_00000160,2025-12-10,ADV_007,CMP_023,MKT_ID,33288,398,81.8871,0.0,63.9574,Finalized
BIL_00000161,2025-12-10,ADV_007,CMP_023,MKT_MY,5128,30,14.0329,0.0,9.7351,Finalized
BIL_00000162,2025-12-10,ADV_007,CMP_023,MKT_SA,15573,188,36.229,0.0,27.1686,Finalized
BIL_00000163,2025-12-10,ADV_007,CMP_023,MKT_TH,13188,173,32.5875,0.0,24.6916,Finalized
BIL_00000164,2025-12-10,ADV_008,CMP_024,MKT_AE,8917,57,12.1814,0.0,8.8236,Finalized
BIL_00000165,2025-12-10,ADV_008,CMP_024,MKT_ID,36900,376,94.6261,0.0,76.4018,Finalized
BIL_00000166,2025-12-10,ADV_008,CMP_024,MKT_MY,17682,205,71.3022,0.0,52.8167,Finalized
BIL_00000167,2025-12-10,ADV_008,CMP_024,MKT_SA,49016,619,91.5292,1.8306,68.2629,Finalized
BIL_00000168,2025-12-10,ADV_008,CMP_024,MKT_TH,26035,138,50.5717,2.5286,36.8203,Finalized
BIL_00000169,2025-12-10,ADV_012,CMP_040,MKT_AE,26412,136,70.1583,0.0,47.6342,Finalized
BIL_00000170,2025-12-10,ADV_012,CMP_040,MKT_ID,45632,312,103.0513,0.0,79.4634,Finalized
BIL_00000171,2025-12-10,ADV_012,CMP_040,MKT_MY,56658,622,110.2489,8.8199,84.5611,Finalized
BIL_00000172,2025-12-10,ADV_012,CMP_040,MKT_SA,20457,244,69.0746,0.0,52.3411,Finalized
BIL_00000173,2025-12-10,ADV_012,CMP_040,MKT_SG,16189,180,27.2858,0.0,18.4465,Finalized
BIL_00000174,2025-12-10,ADV_012,CMP_040,MKT_TH,41877,280,68.0072,0.0,50.5603,Finalized
BIL_00000175,2025-12-10,ADV_016,CMP_052,MKT_AE,2342,17,5.2908,0.0,4.033,Finalized
BIL_00000176,2025-12-10,ADV_016,CMP_052,MKT_ID,2817,9,4.0347,0.0807,3.1094,Finalized
BIL_00000177,2025-12-10,ADV_016,CMP_052,MKT_MY,3516,48,4.6045,0.0,3.4961,Finalized
BIL_00000178,2025-12-10,ADV_018,CMP_059,MKT_ID,8913,88,19.0336,0.0,13.1627,Finalized
BIL_00000179,2025-12-10,ADV_018,CMP_059,MKT_SA,18321,272,42.2029,0.8441,33.2412,Finalized
BIL_00000180,2025-12-11,ADV_004,CMP_012,MKT_AE,4245,33,6.5476,0.131,4.5518,Finalized
BIL_00000181,2025-12-11,ADV_004,CMP_012,MKT_ID,9997,111,28.5557,0.0,20.4443,Finalized
BIL_00000182,2025-12-11,ADV_004,CMP_012,MKT_MY,4101,47,9.8576,0.0,7.2989,Finalized
BIL_00000183,2025-12-11,ADV_004,CMP_012,MKT_SA,7841,163,20.1742,0.0,15.439,Finalized
BIL_00000184,2025-12-11,ADV_004,CMP_012,MKT_SG,3054,42,10.6237,0.0,8.5339,Finalized
BIL_00000185,2025-12-11,ADV_005,CMP_014,MKT_ID,22030,184,40.9861,0.0,29.4299,Finalized
BIL_00000186,2025-12-11,ADV_005,CMP_014,MKT_SA,14589,163,32.144,0.0,23.6553,Finalized
BIL_00000187,2025-12-11,ADV_005,CMP_014,MKT_SG,5035,68,17.0382,0.0,12.2429,Finalized
BIL_00000188,2025-12-11,ADV_005,CMP_014,MKT_TH,13186,253,52.0135,0.0,41.0231,Finalized
BIL_00000189,2025-12-11,ADV_007,CMP_023,MKT_ID,8474,73,22.1445,0.0,15.0596,Finalized
BIL_00000190,2025-12-11,ADV_007,CMP_023,MKT_MY,7204,58,20.242,0.0,15.9862,Finalized
BIL_00000191,2025-12-11,ADV_007,CMP_023,MKT_SA,7610,98,17.3392,0.3468,13.9358,Finalized
BIL_00000192,2025-12-11,ADV_008,CMP_024,MKT_AE,26018,181,56.5737,4.5259,42.1186,Finalized
BIL_00000193,2025-12-11,ADV_008,CMP_024,MKT_ID,43298,322,81.2107,0.0,62.1183,Finalized
BIL_00000194,2025-12-11,ADV_008,CMP_024,MKT_MY,50584,470,91.1057,0.0,69.784,Finalized
BIL_00000195,2025-12-11,ADV_012,CMP_040,MKT_AE,81606,629,174.2916,0.0,131.3693,Finalized
BIL_00000196,2025-12-11,ADV_012,CMP_040,MKT_ID,26385,178,53.3293,0.0,41.042,Finalized
BIL_00000197,2025-12-11,ADV_012,CMP_040,MKT_MY,40073,439,94.1704,0.0,65.9802,Finalized
BIL_00000198,2025-12-11,ADV_012,CMP_040,MKT_SG,17230,238,35.3995,0.0,24.1463,Finalized
BIL_00000199,2025-12-11,ADV_012,CMP_040,MKT_TH,57409,865,172.4357,0.0,126.1441,Finalized
BIL_00000200,2025-12-11,ADV_016,CMP_052,MKT_AE,2933,7,2.4112,0.0,1.8968,Finalized
BIL_00000201,2025-12-11,ADV_016,CMP_052,MKT_ID,3980,35,7.0115,0.0,5.4456,Finalized
BIL_00000202,2025-12-11,ADV_016,CMP_052,MKT_MY,3445,58,12.631,0.0,10.252,Finalized
BIL_00000203,2025-12-11,ADV_016,CMP_052,MKT_SA,4141,30,8.3623,0.0,6.3644,Finalized
BIL_00000204,2025-12-12,ADV_004,CMP_012,MKT_ID,4183,41,7.7004,0.0,5.5059,Finalized
BIL_00000205,2025-12-12,ADV_004,CMP_012,MKT_SG,3279,25,6.1342,0.0,4.8984,Finalized
BIL_00000206,2025-12-12,ADV_005,CMP_014,MKT_MY,3953,18,7.5639,0.0,6.1451,Finalized
BIL_00000207,2025-12-12,ADV_005,CMP_014,MKT_TH,32001,362,86.6007,1.732,63.0775,Finalized
BIL_00000208,2025-12-12,ADV_007,CMP_023,MKT_ID,31706,391,79.3004,0.0,60.6164,Finalized
BIL_00000209,2025-12-12,ADV_007,CMP_023,MKT_SG,11251,127,25.3613,0.5072,19.6412,Finalized
BIL_00000210,2025-12-12,ADV_008,CMP_024,MKT_AE,27781,230,69.3208,1.3864,52.7015,Finalized
BIL_00000211,2025-12-12,ADV_008,CMP_024,MKT_ID,49606,570,107.5224,2.1504,79.1798,Finalized
BIL_00000212,2025-12-12,ADV_008,CMP_024,MKT_MY,23543,216,53.3845,2.6692,38.566,Finalized
BIL_00000213,2025-12-12,ADV_008,CMP_024,MKT_SA,27434,223,41.6904,0.0,32.9925,Finalized
BIL_00000214,2025-12-12,ADV_008,CMP_024,MKT_SG,51845,456,127.6961,0.0,93.8155,Finalized
BIL_00000215,2025-12-12,ADV_008,CMP_024,MKT_TH,15514,120,39.8044,0.0,31.9072,Finalized
BIL_00000216,2025-12-12,ADV_012,CMP_040,MKT_AE,10751,209,44.4764,0.0,32.2409,Finalized
BIL_00000217,2025-12-12,ADV_012,CMP_040,MKT_ID,92482,996,191.1506,0.0,141.3412,Finalized
BIL_00000218,2025-12-12,ADV_012,CMP_040,MKT_MY,52524,515,114.2395,9.1392,80.073,Finalized
BIL_00000219,2025-12-12,ADV_012,CMP_040,MKT_SA,19437,139,34.0964,1.7048,24.6423,Finalized
BIL_00000220,2025-12-12,ADV_012,CMP_040,MKT_TH,43730,228,80.5079,0.0,60.5882,Finalized
BIL_00000221,2025-12-12,ADV_016,CMP_052,MKT_ID,2414,19,6.5077,0.0,4.8199,Finalized
BIL_00000222,2025-12-12,ADV_016,CMP_052,MKT_MY,1144,13,2.2417,0.1121,1.6355,Finalized
BIL_00000223,2025-12-12,ADV_018,CMP_059,MKT_ID,20460,125,51.0255,0.0,35.1749,Finalized
BIL_00000224,2025-12-12,ADV_018,CMP_059,MKT_MY,5155,40,11.5134,0.9211,8.0031,Finalized
BIL_00000225,2025-12-12,ADV_018,CMP_059,MKT_SA,21171,192,77.8668,0.0,54.6755,Finalized
BIL_00000226,2025-12-12,ADV_018,CMP_059,MKT_SG,10292,143,41.9772,2.0989,30.3002,Finalized
BIL_00000227,2025-12-12,ADV_018,CMP_059,MKT_TH,21502,190,31.2609,1.563,21.682,Finalized
BIL_00000228,2025-12-12,ADV_024,CMP_075,MKT_ID,86444,968,181.8805,3.6376,139.5796,Finalized
BIL_00000229,2025-12-12,ADV_024,CMP_075,MKT_MY,27485,327,57.9129,0.0,42.2131,Finalized
BIL_00000230,2025-12-12,ADV_024,CMP_075,MKT_SG,28204,191,66.8566,1.3371,48.1982,Finalized
BIL_00000231,2025-12-12,ADV_024,CMP_075,MKT_TH,36243,696,101.9336,5.0967,70.9648,Finalized
BIL_00000232,2025-12-13,ADV_004,CMP_012,MKT_AE,2182,41,6.9761,0.0,5.7078,Finalized
BIL_00000233,2025-12-13,ADV_004,CMP_012,MKT_ID,7420,107,17.2997,0.0,13.566,Finalized
BIL_00000234,2025-12-13,ADV_004,CMP_012,MKT_MY,1583,17,4.7358,0.3789,3.6565,Finalized
BIL_00000235,2025-12-13,ADV_004,CMP_012,MKT_SA,1331,8,0.819,0.0,0.6532,Finalized
BIL_00000236,2025-12-13,ADV_004,CMP_012,MKT_SG,4704,58,9.1678,0.0,6.677,Finalized
BIL_00000237,2025-12-13,ADV_004,CMP_012,MKT_TH,12095,99,28.6498,1.4325,21.7298,Finalized
BIL_00000238,2025-12-13,ADV_005,CMP_014,MKT_ID,14329,159,40.2961,0.0,30.4541,Finalized
